seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913250236326549,1788913250236324525,2.02
1,1788913250237324804,1788913250237324525,0.28
2,1788913250238324712,1788913250238324525,0.19
3,1788913250239324680,1788913250239324525,0.15
4,1788913250240324708,1788913250240324525,0.18
5,1788913250241324756,1788913250241324525,0.23
6,1788913250242324654,1788913250242324525,0.13
7,1788913250243324762,1788913250243324525,0.24
8,1788913250244324681,1788913250244324525,0.16
9,1788913250245324638,1788913250245324525,0.11
10,1788913250246324667,1788913250246324525,0.14
11,1788913250247324675,1788913250247324525,0.15
12,1788913250248324713,1788913250248324525,0.19
13,1788913250249324621,1788913250249324525,0.10
14,1788913250250324610,1788913250250324525,0.09
15,1788913250251324658,1788913250251324525,0.13
16,1788913250252324666,1788913250252324525,0.14
17,1788913250253324664,1788913250253324525,0.14
18,1788913250254324662,1788913250254324525,0.14
19,1788913250255324700,1788913250255324525,0.17
20,1788913250256324668,1788913250256324525,0.14
21,1788913250257324837,1788913250257324525,0.31
22,1788913250258324815,1788913250258324525,0.29
23,1788913250259324623,1788913250259324525,0.10
24,1788913250260324691,1788913250260324525,0.17
25,1788913250261324639,1788913250261324525,0.11
26,1788913250262324717,1788913250262324525,0.19
27,1788913250263324705,1788913250263324525,0.18
28,1788913250264324714,1788913250264324525,0.19
29,1788913250265324682,1788913250265324525,0.16
30,1788913250266324770,1788913250266324525,0.24
31,1788913250267324718,1788913250267324525,0.19
32,1788913250268324726,1788913250268324525,0.20
33,1788913250269324705,1788913250269324525,0.18
34,1788913250270324753,1788913250270324525,0.23
35,1788913250271324721,1788913250271324525,0.20
36,1788913250272324709,1788913250272324525,0.18
37,1788913250273324737,1788913250273324525,0.21
38,1788913250274324735,1788913250274324525,0.21
39,1788913250275324834,1788913250275324525,0.31
40,1788913250276324682,1788913250276324525,0.16
41,1788913250277324710,1788913250277324525,0.18
42,1788913250278324768,1788913250278324525,0.24
43,1788913250279324987,1788913250279324525,0.46
44,1788913250280324684,1788913250280324525,0.16
45,1788913250281324732,1788913250281324525,0.21
46,1788913250282324791,1788913250282324525,0.27
47,1788913250283324709,1788913250283324525,0.18
48,1788913250284324737,1788913250284324525,0.21
49,1788913250285324685,1788913250285324525,0.16
50,1788913250286324703,1788913250286324525,0.18
51,1788913250287324812,1788913250287324525,0.29
52,1788913250288324649,1788913250288324525,0.12
53,1788913250289324678,1788913250289324525,0.15
54,1788913250290324766,1788913250290324525,0.24
55,1788913250291324614,1788913250291324525,0.09
56,1788913250292324742,1788913250292324525,0.22
57,1788913250293324701,1788913250293324525,0.18
58,1788913250294324669,1788913250294324525,0.14
59,1788913250295324667,1788913250295324525,0.14
60,1788913250296324645,1788913250296324525,0.12
61,1788913250297324753,1788913250297324525,0.23
62,1788913250298324721,1788913250298324525,0.20
63,1788913250299324639,1788913250299324525,0.11
64,1788913250300324718,1788913250300324525,0.19
65,1788913250301324695,1788913250301324525,0.17
66,1788913250302324664,1788913250302324525,0.14
67,1788913250303324672,1788913250303324525,0.15
68,1788913250304324670,1788913250304324525,0.14
69,1788913250305324708,1788913250305324525,0.18
70,1788913250306324686,1788913250306324525,0.16
71,1788913250307324654,1788913250307324525,0.13
72,1788913250308324703,1788913250308324525,0.18
73,1788913250309329389,1788913250309324525,4.86
74,1788913250310324729,1788913250310324525,0.20
75,1788913250311324647,1788913250311324525,0.12
76,1788913250312324796,1788913250312324525,0.27
77,1788913250313324693,1788913250313324525,0.17
78,1788913250314324732,1788913250314324525,0.21
79,1788913250315324720,1788913250315324525,0.20
80,1788913250316324848,1788913250316324525,0.32
81,1788913250317324696,1788913250317324525,0.17
82,1788913250318324684,1788913250318324525,0.16
83,1788913250319324652,1788913250319324525,0.13
84,1788913250320324801,1788913250320324525,0.28
85,1788913250321324809,1788913250321324525,0.28
86,1788913250322324707,1788913250322324525,0.18
87,1788913250323324765,1788913250323324525,0.24
88,1788913250324326797,1788913250324324525,2.27
89,1788913250325324651,1788913250325324525,0.13
90,1788913250326324699,1788913250326324525,0.17
91,1788913250327324637,1788913250327324525,0.11
92,1788913250328324766,1788913250328324525,0.24
93,1788913250329324634,1788913250329324525,0.11
94,1788913250330324662,1788913250330324525,0.14
95,1788913250331324861,1788913250331324525,0.34
96,1788913250332324728,1788913250332324525,0.20
97,1788913250333324627,1788913250333324525,0.10
98,1788913250334324765,1788913250334324525,0.24
99,1788913250335324733,1788913250335324525,0.21
100,1788913250336324711,1788913250336324525,0.19
101,1788913250337324689,1788913250337324525,0.16
102,1788913250338324637,1788913250338324525,0.11
103,1788913250339324665,1788913250339324525,0.14
104,1788913250340324874,1788913250340324525,0.35
105,1788913250341326385,1788913250341324525,1.86
106,1788913250342324710,1788913250342324525,0.18
107,1788913250343324658,1788913250343324525,0.13
108,1788913250344324736,1788913250344324525,0.21
109,1788913250345324725,1788913250345324525,0.20
110,1788913250346324682,1788913250346324525,0.16
111,1788913250347324701,1788913250347324525,0.18
112,1788913250348324659,1788913250348324525,0.13
113,1788913250349324677,1788913250349324525,0.15
114,1788913250350324665,1788913250350324525,0.14
115,1788913250351324654,1788913250351324525,0.13
116,1788913250352324652,1788913250352324525,0.13
117,1788913250353324800,1788913250353324525,0.28
118,1788913250354324838,1788913250354324525,0.31
119,1788913250355324676,1788913250355324525,0.15
120,1788913250356324784,1788913250356324525,0.26
121,1788913250357324672,1788913250357324525,0.15
122,1788913250358324680,1788913250358324525,0.15
123,1788913250359324779,1788913250359324525,0.25
124,1788913250360324707,1788913250360324525,0.18
125,1788913250361324675,1788913250361324525,0.15
126,1788913250362324743,1788913250362324525,0.22
127,1788913250363324661,1788913250363324525,0.14
128,1788913250364324649,1788913250364324525,0.12
129,1788913250365324728,1788913250365324525,0.20
130,1788913250366324626,1788913250366324525,0.10
131,1788913250367324614,1788913250367324525,0.09
132,1788913250368324722,1788913250368324525,0.20
133,1788913250369324730,1788913250369324525,0.20
134,1788913250370324638,1788913250370324525,0.11
135,1788913250371324697,1788913250371324525,0.17
136,1788913250372324665,1788913250372324525,0.14
137,1788913250373324613,1788913250373324525,0.09
138,1788913250374324701,1788913250374324525,0.18
139,1788913250375324830,1788913250375324525,0.30
140,1788913250376324657,1788913250376324525,0.13
141,1788913250377324716,1788913250377324525,0.19
142,1788913250378324674,1788913250378324525,0.15
143,1788913250379324702,1788913250379324525,0.18
144,1788913250380324650,1788913250380324525,0.12
145,1788913250381324708,1788913250381324525,0.18
146,1788913250382324616,1788913250382324525,0.09
147,1788913250383324684,1788913250383324525,0.16
148,1788913250384324803,1788913250384324525,0.28
149,1788913250385324631,1788913250385324525,0.11
150,1788913250386324709,1788913250386324525,0.18
151,1788913250387324748,1788913250387324525,0.22
152,1788913250388324676,1788913250388324525,0.15
153,1788913250389324704,1788913250389324525,0.18
154,1788913250390324732,1788913250390324525,0.21
155,1788913250391324690,1788913250391324525,0.17
156,1788913250392324658,1788913250392324525,0.13
157,1788913250393324786,1788913250393324525,0.26
158,1788913250394324634,1788913250394324525,0.11
159,1788913250395324702,1788913250395324525,0.18
160,1788913250396324891,1788913250396324525,0.37
161,1788913250397326432,1788913250397324525,1.91
162,1788913250398324647,1788913250398324525,0.12
163,1788913250399324866,1788913250399324525,0.34
164,1788913250400324794,1788913250400324525,0.27
165,1788913250401324611,1788913250401324525,0.09
166,1788913250402324720,1788913250402324525,0.20
167,1788913250403324698,1788913250403324525,0.17
168,1788913250404324766,1788913250404324525,0.24
169,1788913250405324734,1788913250405324525,0.21
170,1788913250406324692,1788913250406324525,0.17
171,1788913250407324740,1788913250407324525,0.21
172,1788913250408324648,1788913250408324525,0.12
173,1788913250409324687,1788913250409324525,0.16
174,1788913250410324755,1788913250410324525,0.23
175,1788913250411324723,1788913250411324525,0.20
176,1788913250412324781,1788913250412324525,0.26
177,1788913250413324729,1788913250413324525,0.20
178,1788913250414324597,1788913250414324525,0.07
179,1788913250415324665,1788913250415324525,0.14
180,1788913250416324764,1788913250416324525,0.24
181,1788913250417324602,1788913250417324525,0.08
182,1788913250418324690,1788913250418324525,0.17
183,1788913250419324668,1788913250419324525,0.14
184,1788913250420324616,1788913250420324525,0.09
185,1788913250421324714,1788913250421324525,0.19
186,1788913250422324633,1788913250422324525,0.11
187,1788913250423324641,1788913250423324525,0.12
188,1788913250424324759,1788913250424324525,0.23
189,1788913250425324657,1788913250425324525,0.13
190,1788913250426324695,1788913250426324525,0.17
191,1788913250427324734,1788913250427324525,0.21
192,1788913250428324752,1788913250428324525,0.23
193,1788913250429324680,1788913250429324525,0.15
194,1788913250430324668,1788913250430324525,0.14
195,1788913250431324746,1788913250431324525,0.22
196,1788913250432324704,1788913250432324525,0.18
197,1788913250433324763,1788913250433324525,0.24
198,1788913250434324711,1788913250434324525,0.19
199,1788913250435324719,1788913250435324525,0.19
200,1788913250436324657,1788913250436324525,0.13
201,1788913250437324735,1788913250437324525,0.21
202,1788913250438324693,1788913250438324525,0.17
203,1788913250439324671,1788913250439324525,0.15
204,1788913250440324780,1788913250440324525,0.26
205,1788913250441324668,1788913250441324525,0.14
206,1788913250442324636,1788913250442324525,0.11
207,1788913250443324804,1788913250443324525,0.28
208,1788913250444324712,1788913250444324525,0.19
209,1788913250445324710,1788913250445324525,0.18
210,1788913250446324819,1788913250446324525,0.29
211,1788913250447324657,1788913250447324525,0.13
212,1788913250448325286,1788913250448324525,0.76
213,1788913250449324783,1788913250449324525,0.26
214,1788913250450324681,1788913250450324525,0.16
215,1788913250451324619,1788913250451324525,0.09
216,1788913250452324738,1788913250452324525,0.21
217,1788913250453327260,1788913250453324525,2.73
218,1788913250454324624,1788913250454324525,0.10
219,1788913250455324652,1788913250455324525,0.13
220,1788913250456324730,1788913250456324525,0.20
221,1788913250457324688,1788913250457324525,0.16
222,1788913250458324706,1788913250458324525,0.18
223,1788913250459324785,1788913250459324525,0.26
224,1788913250460324713,1788913250460324525,0.19
225,1788913250461324701,1788913250461324525,0.18
226,1788913250462324699,1788913250462324525,0.17
227,1788913250463324757,1788913250463324525,0.23
228,1788913250464324645,1788913250464324525,0.12
229,1788913250465324764,1788913250465324525,0.24
230,1788913250466324632,1788913250466324525,0.11
231,1788913250467324730,1788913250467324525,0.20
232,1788913250468324818,1788913250468324525,0.29
233,1788913250469324696,1788913250469324525,0.17
234,1788913250470324644,1788913250470324525,0.12
235,1788913250471324762,1788913250471324525,0.24
236,1788913250472324630,1788913250472324525,0.10
237,1788913250473324669,1788913250473324525,0.14
238,1788913250474324887,1788913250474324525,0.36
239,1788913250475324735,1788913250475324525,0.21
240,1788913250476324683,1788913250476324525,0.16
241,1788913250477324761,1788913250477324525,0.24
242,1788913250478324779,1788913250478324525,0.25
243,1788913250479324658,1788913250479324525,0.13
244,1788913250480324726,1788913250480324525,0.20
245,1788913250481326197,1788913250481324525,1.67
246,1788913250482324632,1788913250482324525,0.11
247,1788913250483324640,1788913250483324525,0.12
248,1788913250484324819,1788913250484324525,0.29
249,1788913250485324697,1788913250485324525,0.17
250,1788913250486324685,1788913250486324525,0.16
251,1788913250487324883,1788913250487324525,0.36
252,1788913250488324621,1788913250488324525,0.10
253,1788913250489324639,1788913250489324525,0.11
254,1788913250490324788,1788913250490324525,0.26
255,1788913250491324636,1788913250491324525,0.11
256,1788913250492324613,1788913250492324525,0.09
257,1788913250493324782,1788913250493324525,0.26
258,1788913250494324650,1788913250494324525,0.12
259,1788913250495324628,1788913250495324525,0.10
260,1788913250496324676,1788913250496324525,0.15
261,1788913250497324614,1788913250497324525,0.09
262,1788913250498324693,1788913250498324525,0.17
263,1788913250499324811,1788913250499324525,0.29
264,1788913250500324619,1788913250500324525,0.09
265,1788913250501324657,1788913250501324525,0.13
266,1788913250502324705,1788913250502324525,0.18
267,1788913250503324694,1788913250503324525,0.17
268,1788913250504324642,1788913250504324525,0.12
269,1788913250505324670,1788913250505324525,0.14
270,1788913250506324708,1788913250506324525,0.18
271,1788913250507324626,1788913250507324525,0.10
272,1788913250508324714,1788913250508324525,0.19
273,1788913250509326977,1788913250509324525,2.45
274,1788913250510324631,1788913250510324525,0.11
275,1788913250511324699,1788913250511324525,0.17
276,1788913250512324737,1788913250512324525,0.21
277,1788913250513324715,1788913250513324525,0.19
278,1788913250514324623,1788913250514324525,0.10
279,1788913250515324671,1788913250515324525,0.15
280,1788913250516324640,1788913250516324525,0.12
281,1788913250517324668,1788913250517324525,0.14
282,1788913250518324796,1788913250518324525,0.27
283,1788913250519324714,1788913250519324525,0.19
284,1788913250520324652,1788913250520324525,0.13
285,1788913250521324770,1788913250521324525,0.24
286,1788913250522324638,1788913250522324525,0.11
287,1788913250523324717,1788913250523324525,0.19
288,1788913250524324885,1788913250524324525,0.36
289,1788913250525324613,1788913250525324525,0.09
290,1788913250526324651,1788913250526324525,0.13
291,1788913250527324709,1788913250527324525,0.18
292,1788913250528324627,1788913250528324525,0.10
293,1788913250529324635,1788913250529324525,0.11
294,1788913250530324764,1788913250530324525,0.24
295,1788913250531324642,1788913250531324525,0.12
296,1788913250532324670,1788913250532324525,0.14
297,1788913250533324778,1788913250533324525,0.25
298,1788913250534324666,1788913250534324525,0.14
299,1788913250535324675,1788913250535324525,0.15
300,1788913250536324723,1788913250536324525,0.20
301,1788913250537327125,1788913250537324525,2.60
302,1788913250538324699,1788913250538324525,0.17
303,1788913250539324677,1788913250539324525,0.15
304,1788913250540324685,1788913250540324525,0.16
305,1788913250541324704,1788913250541324525,0.18
306,1788913250542324692,1788913250542324525,0.17
307,1788913250543324790,1788913250543324525,0.27
308,1788913250544324648,1788913250544324525,0.12
309,1788913250545324716,1788913250545324525,0.19
310,1788913250546324724,1788913250546324525,0.20
311,1788913250547324662,1788913250547324525,0.14
312,1788913250548324641,1788913250548324525,0.12
313,1788913250549324669,1788913250549324525,0.14
314,1788913250550324617,1788913250550324525,0.09
315,1788913250551324615,1788913250551324525,0.09
316,1788913250552324763,1788913250552324525,0.24
317,1788913250553324751,1788913250553324525,0.23
318,1788913250554324690,1788913250554324525,0.17
319,1788913250555324778,1788913250555324525,0.25
320,1788913250556324636,1788913250556324525,0.11
321,1788913250557324714,1788913250557324525,0.19
322,1788913250558324672,1788913250558324525,0.15
323,1788913250559324630,1788913250559324525,0.10
324,1788913250560324679,1788913250560324525,0.15
325,1788913250561324647,1788913250561324525,0.12
326,1788913250562324655,1788913250562324525,0.13
327,1788913250563324673,1788913250563324525,0.15
328,1788913250564324681,1788913250564324525,0.16
329,1788913250565327204,1788913250565324525,2.68
330,1788913250566324697,1788913250566324525,0.17
331,1788913250567324706,1788913250567324525,0.18
332,1788913250568324884,1788913250568324525,0.36
333,1788913250569324702,1788913250569324525,0.18
334,1788913250570324680,1788913250570324525,0.15
335,1788913250571324698,1788913250571324525,0.17
336,1788913250572324616,1788913250572324525,0.09
337,1788913250573324634,1788913250573324525,0.11
338,1788913250574324723,1788913250574324525,0.20
339,1788913250575324621,1788913250575324525,0.10
340,1788913250576324669,1788913250576324525,0.14
341,1788913250577324838,1788913250577324525,0.31
342,1788913250578324645,1788913250578324525,0.12
343,1788913250579324723,1788913250579324525,0.20
344,1788913250580324832,1788913250580324525,0.31
345,1788913250581324700,1788913250581324525,0.17
346,1788913250582324728,1788913250582324525,0.20
347,1788913250583324696,1788913250583324525,0.17
348,1788913250584324635,1788913250584324525,0.11
349,1788913250585324683,1788913250585324525,0.16
350,1788913250586324671,1788913250586324525,0.15
351,1788913250587324609,1788913250587324525,0.08
