seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
2,1788913332591695298,1788913333168076810,576.381512,0.0,128,0
5,1788913332594695223,1788913333170397135,575.701912,1320.325,128,0
6,1788913332595695192,1788913333171022584,575.327392,-374.551,128,0
8,1788913332597695199,1788913333172257812,574.562613,235.228,128,0
9,1788913332598695157,1788913333172890454,574.195297,-367.358,128,0
12,1788913332601695152,1788913333175288665,573.593513,1398.211,128,0
13,1788913332602695201,1788913333175927819,573.232618,-360.846,128,0
21,1788913332610695254,1788913333183481292,572.786038,6553.473,128,0
24,1788913332613695173,1788913333185849868,572.154695,1368.576,128,0
27,1788913332616695128,1788913333188218032,571.522904,1368.164,128,0
28,1788913332617695247,1788913333188876463,571.181216,-341.569,128,0
32,1788913332621695210,1788913333192414639,570.719429,2538.176,128,0
36,1788913332625695275,1788913333195960895,570.26562,2546.256,128,0
43,1788913332632695163,1788913333202350838,569.655675,5389.943,128,0
46,1788913332635695239,1788913333204745759,569.05052,1394.921,128,0
47,1788913332636695167,1788913333205368172,568.673005,-377.587,128,0
51,1788913332640695156,1788913333208890503,568.195347,2522.331,128,0
55,1788913332644695234,1788913333212430608,567.735374,2540.105,128,0
58,1788913332647695310,1788913333214819105,567.123795,1388.497,128,0
61,1788913332650695295,1788913333217163094,566.467799,1343.989,128,0
62,1788913332651695273,1788913333217822566,566.127293,-340.528,128,0
64,1788913332653695220,1788913333218998874,565.303654,176.308,128,0
65,1788913332654695188,1788913333219695145,564.999957,-303.729,128,0
66,1788913332655695217,1788913333220333287,564.63807,-361.858,128,0
68,1788913332657695184,1788913333221553968,563.858784,220.681,128,0
69,1788913332658695162,1788913333222199166,563.504004,-354.802,128,0
70,1788913332659695216,1788913333222842849,563.147633,-356.317,128,0
77,1788913332666695205,1788913333229261611,562.566406,5418.762,128,0
80,1788913332669695210,1788913333231646080,561.95087,1384.469,128,0
81,1788913332670695209,1788913333232282920,561.587711,-363.16,128,0
83,1788913332672695206,1788913333233484014,560.788808,201.094,128,0
84,1788913332673695134,1788913333234100282,560.405148,-383.732,128,0
85,1788913332674695202,1788913333234735649,560.040447,-364.633,128,0
92,1788913332681695181,1788913333241237698,559.542517,5502.049,128,0
96,1788913332685695125,1788913333244696173,559.001048,2458.475,128,0
99,1788913332688695140,1788913333247074557,558.379417,1378.384,128,0
100,1788913332689695319,1788913333247711938,558.016619,-362.619,128,0
102,1788913332691695426,1788913333248976400,557.280974,264.462,128,0
103,1788913332692695174,1788913333249588100,556.892926,-388.3,128,0
106,1788913332695695224,1788913333251990111,556.294887,1402.011,128,0
107,1788913332696695192,1788913333252598488,555.903296,-391.623,128,0
111,1788913332700695186,1788913333256161986,555.4668,2563.498,128,0
114,1788913332703695321,1788913333258535725,554.840404,1373.739,128,0
115,1788913332704695300,1788913333259192352,554.497052,-343.373,128,0
117,1788913332706695206,1788913333260398606,553.7034,206.254,128,0
118,1788913332707695205,1788913333261050093,553.354888,-348.513,128,0
121,1788913332710695210,1788913333263403470,552.70826,1353.377,128,0
