seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913266701033871,1788913266701320279,0.286408,0.0,128,0
1,1788913266702031834,1788913266702515761,0.483927,195.482,128,0
2,1788913266703031691,1788913266703739573,0.707882,223.812,128,0
3,1788913266704031528,1788913266704383205,0.351677,-356.368,128,0
4,1788913266705031586,1788913266705603814,0.572228,220.609,128,0
5,1788913266706031503,1788913266706265129,0.233626,-338.685,128,0
6,1788913266707031570,1788913266707473636,0.442066,208.507,128,0
7,1788913266708031487,1788913266708669789,0.638302,196.153,128,0
8,1788913266709031555,1788913266709353446,0.321891,-316.343,128,0
9,1788913266710031502,1788913266710550501,0.518999,197.055,128,0
10,1788913266711031559,1788913266711235029,0.20347,-315.472,128,0
11,1788913266712031567,1788913266712412127,0.38056,177.098,128,0
12,1788913266713031584,1788913266713650971,0.619387,238.844,128,0
13,1788913266714031541,1788913266714290074,0.258533,-360.897,128,0
14,1788913266715031468,1788913266715511514,0.480046,221.44,128,0
15,1788913266716031556,1788913266716743365,0.711809,231.851,128,0
16,1788913266717031473,1788913266717379182,0.347709,-364.183,128,0
17,1788913266718031570,1788913266718611723,0.580153,232.541,128,0
18,1788913266719031638,1788913266719254003,0.222365,-357.72,128,0
19,1788913266720031595,1788913266720473931,0.442336,219.928,128,0
20,1788913266721031512,1788913266721689390,0.657878,215.459,128,0
21,1788913266722031539,1788913266722344323,0.312784,-345.067,128,0
22,1788913266723031527,1788913266723561526,0.529999,217.203,128,0
23,1788913266724031504,1788913266724237168,0.205664,-324.358,128,0
24,1788913266725031541,1788913266725428332,0.396791,191.164,128,0
25,1788913266726031478,1788913266726602885,0.571407,174.553,128,0
26,1788913266727031556,1788913266727292142,0.260586,-310.743,128,0
27,1788913266728031573,1788913266728471024,0.439451,178.882,128,0
28,1788913266729031490,1788913266729732459,0.700969,261.435,128,0
29,1788913266730031487,1788913266730334002,0.302515,-398.457,128,0
30,1788913266731031535,1788913266731607991,0.576456,273.989,128,0
31,1788913266732031492,1788913266732200227,0.168735,-407.764,128,0
32,1788913266733031589,1788913266733475518,0.443929,275.291,128,0
33,1788913266734031516,1788913266734710635,0.679119,235.117,128,0
34,1788913266735031574,1788913266735339950,0.308376,-370.685,128,0
35,1788913266736031491,1788913266736565258,0.533767,225.308,128,0
36,1788913266737031528,1788913266737178352,0.146824,-386.906,128,0
37,1788913266738031626,1788913266738436392,0.404766,258.04,128,0
38,1788913266739031483,1788913266739645309,0.613826,208.917,128,0
39,1788913266740038082,1788913266740305041,0.266959,-340.268,128,0
40,1788913266741031618,1788913266741527113,0.495495,222.072,128,0
41,1788913266742031505,1788913266742761878,0.730373,234.765,128,0
42,1788913266743031492,1788913266743387477,0.355985,-374.401,128,0
43,1788913266744031660,1788913266744621701,0.590041,234.224,128,0
44,1788913266745031536,1788913266745248111,0.216575,-373.59,128,0
45,1788913266746031504,1788913266746485812,0.454308,237.701,128,0
46,1788913266747031661,1788913266747706732,0.675071,220.92,128,0
47,1788913266748031468,1788913266748355173,0.323705,-351.559,128,0
48,1788913266749031596,1788913266749546257,0.514661,191.084,128,0
49,1788913266750031583,1788913266750179579,0.147996,-366.678,128,0
50,1788913266751031490,1788913266751415026,0.383536,235.447,128,0
51,1788913266752031718,1788913266752644432,0.612714,229.406,128,0
52,1788913266753031615,1788913266753282834,0.251219,-361.598,128,0
53,1788913266754031582,1788913266754538168,0.506586,255.334,128,0
54,1788913266755031529,1788913266755178263,0.146734,-359.905,128,0
55,1788913266756031527,1788913266756387902,0.356375,209.639,128,0
56,1788913266757031594,1788913266757586360,0.554766,198.458,128,0
57,1788913266758031581,1788913266758250540,0.218959,-335.82,128,0
58,1788913266759031578,1788913266759452043,0.420465,201.503,128,0
59,1788913266760031606,1788913266760703059,0.671453,251.016,128,0
60,1788913266761031573,1788913266761329409,0.297836,-373.65,128,0
61,1788913266762031630,1788913266762541552,0.509922,212.143,128,0
62,1788913266763031547,1788913266763195243,0.163696,-346.309,128,0
63,1788913266764031555,1788913266764410512,0.378957,215.269,128,0
64,1788913266765031532,1788913266765649266,0.617734,238.754,128,0
65,1788913266766031720,1788913266766275274,0.243554,-373.992,128,0
66,1788913266767031487,1788913266767507956,0.476469,232.682,128,0
67,1788913266768031604,1788913266768728235,0.696631,220.279,128,0
68,1788913266769031661,1788913266769378920,0.347259,-349.315,128,0
69,1788913266770032600,1788913266770600541,0.567941,221.621,128,0
70,1788913266771031556,1788913266771260123,0.228567,-340.418,128,0
71,1788913266772031713,1788913266772461646,0.429933,201.523,128,0
72,1788913266773031540,1788913266773636881,0.605341,175.235,128,0
73,1788913266774031628,1788913266774327069,0.295441,-309.812,128,0
74,1788913266775031585,1788913266775506111,0.474526,179.042,128,0
75,1788913266776031562,1788913266776191270,0.159708,-314.841,128,0
76,1788913266777031579,1788913266777370823,0.339244,179.553,128,0
77,1788913266778031597,1788913266778631336,0.599739,260.513,128,0
78,1788913266779031644,1788913266779238861,0.207217,-392.475,128,0
79,1788913266780031541,1788913266780492983,0.461442,254.122,128,0
80,1788913266781031618,1788913266781109354,0.077736,-383.629,128,0
81,1788913266782031606,1788913266782368294,0.336688,258.94,128,0
82,1788913266783031613,1788913266783593192,0.561579,224.898,128,0
83,1788913266784031610,1788913266784229500,0.19789,-363.692,128,0
84,1788913266785031538,1788913266785469345,0.437807,239.845,128,0
85,1788913266786031585,1788913266786093564,0.061979,-375.781,128,0
86,1788913266787031632,1788913266787331526,0.299894,237.962,128,0
87,1788913266788031499,1788913266788548047,0.516548,216.521,128,0
88,1788913266789031577,1788913266789200175,0.168598,-347.872,128,0
89,1788913266790031504,1788913266790411487,0.379983,211.312,128,0
90,1788913266791031461,1788913266791628710,0.597249,217.223,128,0
91,1788913266792031518,1788913266792284855,0.253337,-343.855,128,0
92,1788913266793031516,1788913266793507137,0.475621,222.282,128,0
93,1788913266794031543,1788913266794717908,0.686365,210.771,128,0
94,1788913266795031480,1788913266795368152,0.336672,-349.756,128,0
95,1788913266796031487,1788913266796587489,0.556002,219.337,128,0
96,1788913266797031555,1788913266797267739,0.236184,-319.75,128,0
97,1788913266798031582,1788913266798451039,0.419457,183.3,128,0
98,1788913266799031559,1788913266799683150,0.651591,232.111,128,0
99,1788913266800031496,1788913266800317133,0.285637,-366.017,128,0
100,1788913266801031534,1788913266801550296,0.518762,233.163,128,0
101,1788913266802031551,1788913266802191714,0.160163,-358.582,128,0
102,1788913266803031528,1788913266803417763,0.386235,226.049,128,0
103,1788913266804031536,1788913266804619267,0.587731,201.504,128,0
104,1788913266805031553,1788913266805277886,0.246333,-341.381,128,0
105,1788913266806031600,1788913266806487034,0.455434,209.148,128,0
106,1788913266807031558,1788913266807714867,0.683309,227.833,128,0
107,1788913266808031555,1788913266808353279,0.321724,-361.588,128,0
108,1788913266809031482,1788913266809578677,0.547195,225.398,128,0
109,1788913266810031519,1788913266810219313,0.187794,-359.364,128,0
110,1788913266811031536,1788913266811446024,0.414488,226.711,128,0
111,1788913266812031534,1788913266812671713,0.640179,225.689,128,0
112,1788913266813031581,1788913266813325063,0.293482,-346.65,128,0
113,1788913266814031569,1788913266814537346,0.505777,212.283,128,0
114,1788913266815031476,1788913266815777672,0.746196,240.326,128,0
115,1788913266816031473,1788913266816414942,0.383469,-362.73,128,0
116,1788913266817031520,1788913266817649518,0.617998,234.576,128,0
117,1788913266818031558,1788913266818277049,0.245491,-372.469,128,0
118,1788913266819031525,1788913266819502498,0.470973,225.449,128,0
119,1788913266820031502,1788913266820678844,0.647342,176.346,128,0
120,1788913266821031579,1788913266821364455,0.332876,-314.389,128,0
121,1788913266822031516,1788913266822551872,0.520356,187.417,128,0
122,1788913266823031514,1788913266823230328,0.198814,-321.544,128,0
123,1788913266824031531,1788913266824414600,0.383069,184.272,128,0
124,1788913266825031569,1788913266825672539,0.64097,257.939,128,0
125,1788913266826031586,1788913266826280965,0.249379,-391.574,128,0
126,1788913266827031563,1788913266827532752,0.501189,251.787,128,0
127,1788913266828031560,1788913266828142932,0.111372,-389.82,128,0
128,1788913266829031538,1788913266829401391,0.369853,258.459,128,0
129,1788913266830031505,1788913266830629775,0.59827,228.384,128,0
130,1788913266831031602,1788913266831269259,0.237657,-360.516,128,0
131,1788913266832031559,1788913266832500889,0.46933,231.63,128,0
132,1788913266833031567,1788913266833094297,0.06273,-406.592,128,0
133,1788913266834031554,1788913266834370450,0.338896,276.153,128,0
134,1788913266835031611,1788913266835576993,0.545382,206.543,128,0
135,1788913266836031498,1788913266836267593,0.236095,-309.4,128,0
136,1788913266837031566,1788913266837438319,0.406753,170.726,128,0
137,1788913266838031563,1788913266838663837,0.632274,225.518,128,0
138,1788913266839031550,1788913266839307219,0.275669,-356.618,128,0
139,1788913266840033651,1788913266840535863,0.502212,228.644,128,0
140,1788913266841031475,1788913266841231171,0.199696,-304.692,128,0
141,1788913266842031522,1788913266842365770,0.334248,134.599,128,0
142,1788913266843031589,1788913266843616305,0.584716,250.535,128,0
143,1788913266844031476,1788913266844297797,0.266321,-318.508,128,0
144,1788913266845031534,1788913266845479464,0.44793,181.667,128,0
145,1788913266846031501,1788913266846712627,0.681126,233.163,128,0
146,1788913266847031578,1788913266847349385,0.317807,-363.242,128,0
147,1788913266848031546,1788913266848580695,0.549149,231.31,128,0
148,1788913266849031493,1788913266849179192,0.147699,-401.503,128,0
149,1788913266850031500,1788913266850447701,0.416201,268.509,128,0
150,1788913266851031487,1788913266851658672,0.627185,210.971,128,0
151,1788913266852031585,1788913266852307624,0.276039,-351.048,128,0
152,1788913266853031532,1788913266853530207,0.498675,222.583,128,0
153,1788913266854031560,1788913266854751006,0.719446,220.799,128,0
154,1788913266855031476,1788913266855392424,0.360948,-358.582,128,0
155,1788913266856031534,1788913266856616159,0.584625,223.735,128,0
156,1788913266857031541,1788913266857261434,0.229893,-354.725,128,0
