seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913349046526499,1788913349046524285,2.21
1,1788913349047524644,1788913349047524285,0.36
2,1788913349048524563,1788913349048524285,0.28
3,1788913349049524411,1788913349049524285,0.13
4,1788913349050524560,1788913349050524285,0.28
5,1788913349051524498,1788913349051524285,0.21
6,1788913349052524447,1788913349052524285,0.16
7,1788913349053524416,1788913349053524285,0.13
8,1788913349054524484,1788913349054524285,0.20
9,1788913349055524533,1788913349055524285,0.25
10,1788913349056524502,1788913349056524285,0.22
11,1788913349057524520,1788913349057524285,0.23
12,1788913349058524459,1788913349058524285,0.17
13,1788913349059524457,1788913349059524285,0.17
14,1788913349060524456,1788913349060524285,0.17
15,1788913349061524395,1788913349061524285,0.11
16,1788913349062524413,1788913349062524285,0.13
17,1788913349063524462,1788913349063524285,0.18
18,1788913349064524481,1788913349064524285,0.20
19,1788913349065524469,1788913349065524285,0.18
20,1788913349066524478,1788913349066524285,0.19
21,1788913349067524467,1788913349067524285,0.18
22,1788913349068524475,1788913349068524285,0.19
23,1788913349069524404,1788913349069524285,0.12
24,1788913349070524463,1788913349070524285,0.18
25,1788913349071524491,1788913349071524285,0.21
26,1788913349072524450,1788913349072524285,0.17
27,1788913349073524498,1788913349073524285,0.21
28,1788913349074524407,1788913349074524285,0.12
29,1788913349075524486,1788913349075524285,0.20
30,1788913349076524484,1788913349076524285,0.20
31,1788913349077524463,1788913349077524285,0.18
32,1788913349078524472,1788913349078524285,0.19
33,1788913349079524481,1788913349079524285,0.20
34,1788913349080524459,1788913349080524285,0.17
35,1788913349081524407,1788913349081524285,0.12
36,1788913349082524516,1788913349082524285,0.23
37,1788913349083524455,1788913349083524285,0.17
38,1788913349084524614,1788913349084524285,0.33
39,1788913349085524482,1788913349085524285,0.20
40,1788913349086524391,1788913349086524285,0.11
41,1788913349087524450,1788913349087524285,0.17
42,1788913349088524438,1788913349088524285,0.15
43,1788913349089524497,1788913349089524285,0.21
44,1788913349090524436,1788913349090524285,0.15
45,1788913349091524464,1788913349091524285,0.18
46,1788913349092527188,1788913349092524285,2.90
47,1788913349093524411,1788913349093524285,0.13
48,1788913349094524430,1788913349094524285,0.14
49,1788913349095524529,1788913349095524285,0.24
50,1788913349096524497,1788913349096524285,0.21
51,1788913349097524496,1788913349097524285,0.21
52,1788913349098524525,1788913349098524285,0.24
53,1788913349099524443,1788913349099524285,0.16
54,1788913349100524472,1788913349100524285,0.19
55,1788913349101524531,1788913349101524285,0.25
56,1788913349102524489,1788913349102524285,0.20
57,1788913349103524468,1788913349103524285,0.18
58,1788913349104524446,1788913349104524285,0.16
59,1788913349105524375,1788913349105524285,0.09
60,1788913349106524474,1788913349106524285,0.19
61,1788913349107524452,1788913349107524285,0.17
62,1788913349108524461,1788913349108524285,0.18
63,1788913349109524440,1788913349109524285,0.15
64,1788913349110524489,1788913349110524285,0.20
65,1788913349111524367,1788913349111524285,0.08
