seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913349046526499,1788913349046898083,0.371584,0.0,128,0
1,1788913349047524644,1788913349048115498,0.590854,217.415,128,0
2,1788913349048524563,1788913349048729706,0.205143,-385.792,128,0
3,1788913349049524411,1788913349049945939,0.421528,216.233,128,0
4,1788913349050524560,1788913349051161210,0.63665,215.271,128,0
5,1788913349051524498,1788913349051805033,0.280535,-356.177,128,0
6,1788913349052524447,1788913349053052764,0.528317,247.731,128,0
7,1788913349053524416,1788913349054216789,0.692373,164.025,128,0
8,1788913349054524484,1788913349054888895,0.364411,-327.894,128,0
9,1788913349055524533,1788913349056072878,0.548345,183.983,128,0
10,1788913349056524502,1788913349056754101,0.229599,-318.777,128,0
11,1788913349057524520,1788913349057958872,0.434352,204.771,128,0
12,1788913349058524459,1788913349059191114,0.666655,232.242,128,0
13,1788913349059524457,1788913349059832383,0.307926,-358.731,128,0
14,1788913349060524456,1788913349061062381,0.537925,229.998,128,0
15,1788913349061524395,1788913349061708446,0.184051,-353.935,128,0
16,1788913349062524413,1788913349062935299,0.410886,226.853,128,0
17,1788913349063524462,1788913349064167792,0.64333,232.493,128,0
18,1788913349064524481,1788913349064803400,0.278919,-364.392,128,0
19,1788913349065524469,1788913349066032917,0.508448,229.517,128,0
20,1788913349066524478,1788913349067255502,0.731024,222.585,128,0
21,1788913349067524467,1788913349067896930,0.372463,-358.572,128,0
22,1788913349068524475,1788913349069112422,0.587947,215.492,128,0
23,1788913349069524404,1788913349069765983,0.241579,-346.439,128,0
24,1788913349070524463,1788913349070996041,0.471578,230.058,128,0
25,1788913349071524491,1788913349072157532,0.633041,161.491,128,0
26,1788913349072524450,1788913349072863030,0.33858,-294.502,128,0
27,1788913349073524498,1788913349074023819,0.499321,160.789,128,0
28,1788913349074524407,1788913349074711324,0.186917,-312.495,128,0
29,1788913349075524486,1788913349075887582,0.363096,176.258,128,0
30,1788913349076524484,1788913349077122710,0.598226,235.128,128,0
31,1788913349077524463,1788913349077754891,0.230428,-367.819,128,0
32,1788913349078524472,1788913349079015557,0.491085,260.666,128,0
33,1788913349079524481,1788913349079681361,0.15688,-334.196,128,0
34,1788913349080524459,1788913349080882366,0.357907,201.005,128,0
35,1788913349081524407,1788913349082113807,0.5894,231.441,128,0
36,1788913349082524516,1788913349082752851,0.228335,-360.956,128,0
37,1788913349083524455,1788913349083978732,0.454277,225.881,128,0
38,1788913349084524614,1788913349085200675,0.676061,221.943,128,0
39,1788913349085524482,1788913349085846923,0.322441,-353.752,128,0
40,1788913349086524391,1788913349087068515,0.544124,221.592,128,0
41,1788913349087524450,1788913349087724701,0.200251,-343.814,128,0
42,1788913349088524438,1788913349088966091,0.441653,241.39,128,0
43,1788913349089524497,1788913349090155233,0.630736,189.142,128,0
44,1788913349090524436,1788913349090801762,0.277326,-353.471,128,0
45,1788913349091524464,1788913349092016241,0.491777,214.479,128,0
46,1788913349092527188,1788913349093258723,0.731535,242.482,128,0
47,1788913349093524411,1788913349093884161,0.35975,-374.562,128,0
48,1788913349094524430,1788913349095100094,0.575664,215.933,128,0
49,1788913349095524529,1788913349095748385,0.223856,-351.709,128,0
50,1788913349096524497,1788913349096964518,0.440021,216.133,128,0
51,1788913349097524496,1788913349098188064,0.663568,223.546,128,0
52,1788913349098524525,1788913349098832979,0.308454,-355.085,128,0
53,1788913349099524443,1788913349100057598,0.533155,224.619,128,0
54,1788913349100524472,1788913349100697323,0.172851,-360.275,128,0
55,1788913349101524531,1788913349101922753,0.398222,225.43,128,0
56,1788913349102524489,1788913349103135158,0.610669,212.405,128,0
57,1788913349103524468,1788913349103803738,0.27927,-331.42,128,0
58,1788913349104524446,1788913349105002988,0.478542,199.25,128,0
59,1788913349105524375,1788913349106226024,0.701649,223.036,128,0
60,1788913349106524474,1788913349106868474,0.344,-357.55,128,0
61,1788913349107524452,1788913349108116256,0.591804,247.782,128,0
62,1788913349108524461,1788913349108735894,0.211433,-380.362,128,0
63,1788913349109524440,1788913349109963698,0.439258,227.804,128,0
64,1788913349110524489,1788913349111209286,0.684797,245.588,128,0
65,1788913349111524367,1788913349111828022,0.303655,-381.264,128,0
66,1788913349112524406,1788913349113062479,0.538073,234.457,128,0
67,1788913349113524455,1788913349113703567,0.179112,-358.912,128,0
68,1788913349114524413,1788913349114931652,0.407239,228.085,128,0
69,1788913349115524482,1788913349116154527,0.630045,222.875,128,0
70,1788913349116524460,1788913349116798019,0.273559,-356.508,128,0
71,1788913349117524459,1788913349118016156,0.491697,218.137,128,0
72,1788913349118524478,1788913349119193738,0.66926,177.582,128,0
73,1788913349119524607,1788913349119880161,0.355554,-313.577,128,0
74,1788913349120524525,1788913349121055918,0.531393,175.757,128,0
75,1788913349121524494,1788913349121771736,0.247242,-284.182,128,0
76,1788913349122524472,1788913349122922616,0.398144,150.88,128,0
77,1788913349123524451,1788913349124169677,0.645226,247.061,128,0
78,1788913349124524470,1788913349124792030,0.26756,-377.647,128,0
79,1788913349125524458,1788913349126043398,0.51894,251.368,128,0
80,1788913349126524517,1788913349126657786,0.133269,-385.612,128,0
81,1788913349127524445,1788913349127910066,0.385621,252.28,128,0
82,1788913349128524694,1788913349129138902,0.614208,228.836,128,0
83,1788913349129524433,1788913349129777506,0.253073,-361.396,128,0
84,1788913349130524381,1788913349131006151,0.48177,228.645,128,0
85,1788913349131524570,1788913349132220721,0.696151,214.57,128,0
86,1788913349132524459,1788913349132883790,0.359331,-336.931,128,0
87,1788913349133524508,1788913349134086177,0.561669,202.387,128,0
88,1788913349134524436,1788913349134744878,0.220442,-341.299,128,0
89,1788913349135524385,1788913349135967813,0.443428,222.935,128,0
90,1788913349136524423,1788913349137202460,0.678037,234.647,128,0
91,1788913349137524452,1788913349137815085,0.290633,-387.375,128,0
92,1788913349138524491,1788913349139109444,0.584953,294.359,128,0
93,1788913349139524459,1788913349139699506,0.175047,-409.938,128,0
94,1788913349140524428,1788913349140906522,0.382094,207.016,128,0
95,1788913349141524437,1788913349142126692,0.602255,220.17,128,0
96,1788913349142524435,1788913349142775664,0.251229,-351.028,128,0
97,1788913349143524494,1788913349143992518,0.468024,216.854,128,0
98,1788913349144524553,1788913349145213270,0.688717,220.752,128,0
99,1788913349145524511,1788913349145862913,0.338402,-350.357,128,0
100,1788913349146524470,1788913349147081501,0.557031,218.588,128,0
101,1788913349147524529,1788913349147731686,0.207157,-349.815,128,0
102,1788913349148524527,1788913349148950173,0.425646,218.487,128,0
103,1788913349149524556,1788913349150169641,0.645085,219.468,128,0
104,1788913349150524484,1788913349150829505,0.305021,-340.136,128,0
105,1788913349151525936,1788913349152026751,0.500815,197.246,128,0
106,1788913349152524452,1788913349152694069,0.169617,-332.682,128,0
107,1788913349153524460,1788913349153899070,0.37461,205.001,128,0
108,1788913349154524479,1788913349155144958,0.620479,245.888,128,0
