seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913299632961070,1788913299633066951,0.105881,0.0,128,184
1,1788913299633959124,1788913299634017486,0.058362,-49.465,128,184
2,1788913299634958992,1788913299635013307,0.054315,-4.179,128,184
3,1788913299635959040,1788913299636014748,0.055708,1.441,128,184
4,1788913299636958998,1788913299637011460,0.052462,-3.288,128,184
5,1788913299637958926,1788913299638015245,0.056319,3.785,128,184
6,1788913299638958935,1788913299639011106,0.052171,-4.139,128,184
7,1788913299639958973,1788913299640015923,0.05695,4.817,128,184
8,1788913299640959021,1788913299641016602,0.057581,0.679,128,184
9,1788913299641958939,1788913299642010950,0.052011,-5.652,128,184
10,1788913299642958917,1788913299643012651,0.053734,1.701,128,184
11,1788913299643958965,1788913299644011427,0.052462,-1.224,128,184
12,1788913299644958994,1788913299645011996,0.053002,0.569,128,184
13,1788913299645958942,1788913299646010061,0.051119,-1.935,128,184
14,1788913299646959020,1788913299647012123,0.053103,2.062,128,184
15,1788913299647958958,1788913299648011520,0.052562,-0.603,128,184
16,1788913299648958976,1788913299649013822,0.054846,2.302,128,184
17,1788913299649958924,1788913299650012358,0.053434,-1.464,128,184
18,1788913299650958962,1788913299651005443,0.046481,-6.915,128,184
19,1788913299651959125,1788913299652030401,0.071276,24.958,128,184
20,1788913299652959003,1788913299653012286,0.053283,-18.115,128,184
21,1788913299653958992,1788913299654009499,0.050507,-2.787,128,184
22,1788913299654958940,1788913299655020167,0.061227,10.668,128,184
23,1788913299655961252,1788913299656022519,0.061267,2.352,128,184
24,1788913299656958986,1788913299657011927,0.052941,-10.592,128,184
25,1788913299657958914,1788913299658012797,0.053883,0.87,128,184
26,1788913299658959022,1788913299659016893,0.057871,4.096,128,184
27,1788913299659958980,1788913299660012243,0.053263,-4.65,128,184
28,1788913299660958898,1788913299661012481,0.053583,0.238,128,184
29,1788913299661958886,1788913299662014824,0.055938,2.343,128,184
30,1788913299662958985,1788913299663012538,0.053553,-2.286,128,184
31,1788913299663958953,1788913299664016283,0.05733,3.745,128,184
32,1788913299664959041,1788913299665013566,0.054525,-2.717,128,184
33,1788913299665958969,1788913299666009957,0.050988,-3.609,128,184
34,1788913299666958897,1788913299667016768,0.057871,6.811,128,184
35,1788913299667959006,1788913299668017608,0.058602,0.84,128,184
36,1788913299668959054,1788913299669008900,0.049846,-8.708,128,184
37,1788913299669959012,1788913299670015200,0.056188,6.3,128,184
38,1788913299670959040,1788913299671023373,0.064333,8.173,128,184
39,1788913299671958998,1788913299672016138,0.05714,-7.235,128,184
40,1788913299672961060,1788913299673017756,0.056696,1.618,128,184
41,1788913299673958915,1788913299674006693,0.047778,-11.063,128,184
42,1788913299674959033,1788913299674995831,0.036798,-10.862,128,184
43,1788913299675959272,1788913299676003694,0.044422,7.863,128,184
44,1788913299676959009,1788913299677028368,0.069359,24.674,128,184
45,1788913299677970429,1788913299678028767,0.058338,0.399,128,184
46,1788913299678958955,1788913299679001294,0.042339,-27.473,128,184
47,1788913299679960977,1788913299680014520,0.053543,13.226,128,184
48,1788913299680958982,1788913299681023776,0.064794,9.256,128,184
49,1788913299681958960,1788913299682006051,0.047091,-17.725,128,184
50,1788913299682965470,1788913299683127606,0.162136,121.555,128,184
51,1788913299683958906,1788913299684012890,0.053984,-114.716,128,184
52,1788913299684958994,1788913299685008389,0.049395,-4.501,128,184
53,1788913299685958933,1788913299686009189,0.050256,0.8,128,184
54,1788913299686958921,1788913299687006112,0.047191,-3.077,128,184
55,1788913299687958919,1788913299688003324,0.044405,-2.788,128,184
56,1788913299688958897,1788913299689012500,0.053603,9.176,128,184
57,1788913299689959155,1788913299690010093,0.050938,-2.407,128,184
58,1788913299690959083,1788913299691020461,0.061378,10.368,128,184
59,1788913299691958942,1788913299692016873,0.057931,-3.588,128,184
60,1788913299692959000,1788913299693012312,0.053312,-4.561,128,184
61,1788913299693959008,1788913299694012481,0.053473,0.169,128,184
62,1788913299694958916,1788913299695016146,0.05723,3.665,128,184
63,1788913299695958914,1788913299696072198,0.113284,56.052,128,184
64,1788913299696958942,1788913299697015090,0.056148,-57.108,128,184
65,1788913299697958971,1788913299698013024,0.054053,-2.066,128,184
66,1788913299698958999,1788913299699013343,0.054344,0.319,128,184
67,1788913299699958947,1788913299700017389,0.058442,4.046,128,184
68,1788913299700958945,1788913299701015223,0.056278,-2.166,128,184
69,1788913299701958943,1788913299702017064,0.058121,1.841,128,184
70,1788913299702958931,1788913299703033473,0.074542,16.409,128,184
71,1788913299703959010,1788913299704010669,0.051659,-22.804,128,184
72,1788913299704958928,1788913299705013272,0.054344,2.603,128,184
73,1788913299705958926,1788913299706012268,0.053342,-1.004,128,184
74,1788913299706958994,1788913299707010152,0.051158,-2.116,128,184
75,1788913299707958942,1788913299708016011,0.057069,5.859,128,184
76,1788913299708958970,1788913299709121897,0.162927,105.886,128,184
77,1788913299709958989,1788913299710011720,0.052731,-110.177,128,184
78,1788913299710958966,1788913299711012389,0.053423,0.669,128,184
79,1788913299711958945,1788913299712012127,0.053182,-0.262,128,184
80,1788913299712958983,1788913299713012305,0.053322,0.178,128,184
81,1788913299713958921,1788913299714011559,0.052638,-0.746,128,184
82,1788913299714958969,1788913299715009543,0.050574,-2.016,128,184
83,1788913299715958967,1788913299716022305,0.063338,12.762,128,184
84,1788913299716958946,1788913299717002466,0.04352,-19.839,128,184
85,1788913299717958924,1788913299718003516,0.044592,1.05,128,184
86,1788913299718959012,1788913299718989588,0.030576,-13.928,128,184
87,1788913299719958960,1788913299720000307,0.041347,10.719,128,184
88,1788913299720958958,1788913299721011746,0.052788,11.439,128,184
89,1788913299721958946,1788913299722117532,0.158586,105.786,128,184
90,1788913299722958935,1788913299723005190,0.046255,-112.342,128,184
91,1788913299723958953,1788913299724005669,0.046716,0.479,128,184
92,1788913299724959001,1788913299725003413,0.044412,-2.256,128,184
93,1788913299725958979,1788913299726008120,0.049141,4.707,128,184
94,1788913299726958947,1788913299727015793,0.056846,7.673,128,184
95,1788913299727959005,1788913299728000722,0.041717,-15.071,128,184
96,1788913299728958984,1788913299729021870,0.062886,21.148,128,184
97,1788913299729958932,1788913299730009906,0.050974,-11.964,128,184
98,1788913299730958940,1788913299731005185,0.046245,-4.721,128,184
99,1788913299731959008,1788913299732004161,0.045153,-1.024,128,184
100,1788913299732958926,1788913299733014179,0.055253,10.018,128,184
101,1788913299733958954,1788913299734003146,0.044192,-11.033,128,184
102,1788913299734958933,1788913299735120975,0.162042,117.829,128,184
103,1788913299735959001,1788913299736014303,0.055302,-106.672,128,184
104,1788913299736958929,1788913299737012769,0.05384,-1.534,128,184
105,1788913299737958917,1788913299738000614,0.041697,-12.155,128,184
106,1788913299738958935,1788913299739008096,0.049161,7.482,128,184
107,1788913299739961889,1788913299740018454,0.056565,10.358,128,184
108,1788913299740958951,1788913299741002271,0.04332,-16.183,128,184
109,1788913299741958960,1788913299742026745,0.067785,24.474,128,184
110,1788913299742958968,1788913299743008770,0.049802,-17.975,128,184
111,1788913299743958936,1788913299744001575,0.042639,-7.195,128,184
112,1788913299744958954,1788913299745010900,0.051946,9.325,128,184
113,1788913299745958972,1788913299746009716,0.050744,-1.184,128,184
114,1788913299746958900,1788913299747002761,0.043861,-6.955,128,184
115,1788913299747959049,1788913299748126331,0.167282,123.57,128,184
116,1788913299748958927,1788913299749013608,0.054681,-112.723,128,184
117,1788913299749958985,1788913299750011172,0.052187,-2.436,128,184
118,1788913299750958953,1788913299751003335,0.044382,-7.837,128,184
119,1788913299751958941,1788913299752008894,0.049953,5.559,128,184
120,1788913299752962456,1788913299753014292,0.051836,5.398,128,184
121,1788913299753958928,1788913299754010653,0.051725,-3.639,128,184
122,1788913299754958926,1788913299755031901,0.072975,21.248,128,184
123,1788913299755959034,1788913299756123000,0.163966,91.099,128,184
124,1788913299756958982,1788913299757002262,0.04328,-120.738,128,184
125,1788913299757958930,1788913299758017699,0.058769,15.437,128,184
126,1788913299758959009,1788913299759002819,0.04381,-14.88,128,184
127,1788913299759958977,1788913299760004010,0.045033,1.191,128,184
128,1788913299760958965,1788913299761032351,0.073386,28.341,128,184
129,1788913299761958983,1788913299762033912,0.074929,1.561,128,184
130,1788913299762959011,1788913299763006218,0.047207,-27.694,128,184
131,1788913299763958989,1788913299764016396,0.057407,10.178,128,184
132,1788913299764958998,1788913299765016725,0.057727,0.329,128,184
133,1788913299765959066,1788913299766018326,0.05926,1.601,128,184
134,1788913299766958924,1788913299767010659,0.051735,-7.667,128,184
135,1788913299767978128,1788913299768032068,0.05394,21.409,128,184
136,1788913299768958950,1788913299769001959,0.043009,-30.109,128,184
137,1788913299769958998,1788913299770006616,0.047618,4.657,128,184
138,1788913299770959056,1788913299771017415,0.058359,10.799,128,184
139,1788913299771958995,1788913299772000511,0.041516,-16.904,128,184
140,1788913299772959023,1788913299773006841,0.047818,6.33,128,184
141,1788913299773966535,1788913299774026596,0.060061,19.755,128,184
142,1788913299774959079,1788913299775009433,0.050354,-17.163,128,184
143,1788913299775958987,1788913299776008649,0.049662,-0.784,128,184
144,1788913299776958996,1788913299777007956,0.04896,-0.693,128,184
145,1788913299777958924,1788913299778001452,0.042528,-6.504,128,184
146,1788913299778959012,1788913299779004516,0.045504,3.064,128,184
147,1788913299779958980,1788913299780009634,0.050654,5.118,128,184
148,1788913299780973575,1788913299781017406,0.043831,7.772,128,184
149,1788913299781958996,1788913299782004140,0.045144,-13.266,128,184
150,1788913299782958944,1788913299783007314,0.04837,3.174,128,184
151,1788913299783960445,1788913299784011029,0.050584,3.715,128,184
152,1788913299784958991,1788913299785007030,0.048039,-3.999,128,184
153,1788913299785958969,1788913299786003882,0.044913,-3.148,128,184
154,1788913299786959127,1788913299787122782,0.163655,118.9,128,184
155,1788913299787958975,1788913299788000923,0.041948,-121.859,128,184
156,1788913299788959034,1788913299789011230,0.052196,10.307,128,184
157,1788913299789960444,1788913299790028250,0.067806,17.02,128,184
158,1788913299790958990,1788913299791005035,0.046045,-23.215,128,184
