seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913299632961070,1788913299632958805,2.27
1,1788913299633959124,1788913299633958805,0.32
2,1788913299634958992,1788913299634958805,0.19
3,1788913299635959040,1788913299635958805,0.23
4,1788913299636958998,1788913299636958805,0.19
5,1788913299637958926,1788913299637958805,0.12
6,1788913299638958935,1788913299638958805,0.13
7,1788913299639958973,1788913299639958805,0.17
8,1788913299640959021,1788913299640958805,0.22
9,1788913299641958939,1788913299641958805,0.13
10,1788913299642958917,1788913299642958805,0.11
11,1788913299643958965,1788913299643958805,0.16
12,1788913299644958994,1788913299644958805,0.19
13,1788913299645958942,1788913299645958805,0.14
14,1788913299646959020,1788913299646958805,0.21
15,1788913299647958958,1788913299647958805,0.15
16,1788913299648958976,1788913299648958805,0.17
17,1788913299649958924,1788913299649958805,0.12
18,1788913299650958962,1788913299650958805,0.16
19,1788913299651959125,1788913299651958805,0.32
20,1788913299652959003,1788913299652958805,0.20
21,1788913299653958992,1788913299653958805,0.19
22,1788913299654958940,1788913299654958805,0.14
23,1788913299655961252,1788913299655958805,2.45
24,1788913299656958986,1788913299656958805,0.18
25,1788913299657958914,1788913299657958805,0.11
26,1788913299658959022,1788913299658958805,0.22
27,1788913299659958980,1788913299659958805,0.17
28,1788913299660958898,1788913299660958805,0.09
29,1788913299661958886,1788913299661958805,0.08
30,1788913299662958985,1788913299662958805,0.18
31,1788913299663958953,1788913299663958805,0.15
32,1788913299664959041,1788913299664958805,0.24
33,1788913299665958969,1788913299665958805,0.16
34,1788913299666958897,1788913299666958805,0.09
35,1788913299667959006,1788913299667958805,0.20
36,1788913299668959054,1788913299668958805,0.25
37,1788913299669959012,1788913299669958805,0.21
38,1788913299670959040,1788913299670958805,0.23
39,1788913299671958998,1788913299671958805,0.19
40,1788913299672961060,1788913299672958805,2.25
41,1788913299673958915,1788913299673958805,0.11
42,1788913299674959033,1788913299674958805,0.23
43,1788913299675959272,1788913299675958805,0.47
44,1788913299676959009,1788913299676958805,0.20
45,1788913299677970429,1788913299677958805,11.62
46,1788913299678958955,1788913299678958805,0.15
47,1788913299679960977,1788913299679958805,2.17
48,1788913299680958982,1788913299680958805,0.18
49,1788913299681958960,1788913299681958805,0.15
50,1788913299682965470,1788913299682958805,6.67
51,1788913299683958906,1788913299683958805,0.10
52,1788913299684958994,1788913299684958805,0.19
53,1788913299685958933,1788913299685958805,0.13
54,1788913299686958921,1788913299686958805,0.12
55,1788913299687958919,1788913299687958805,0.11
56,1788913299688958897,1788913299688958805,0.09
57,1788913299689959155,1788913299689958805,0.35
58,1788913299690959083,1788913299690958805,0.28
59,1788913299691958942,1788913299691958805,0.14
60,1788913299692959000,1788913299692958805,0.20
61,1788913299693959008,1788913299693958805,0.20
62,1788913299694958916,1788913299694958805,0.11
63,1788913299695958914,1788913299695958805,0.11
64,1788913299696958942,1788913299696958805,0.14
65,1788913299697958971,1788913299697958805,0.17
66,1788913299698958999,1788913299698958805,0.19
67,1788913299699958947,1788913299699958805,0.14
68,1788913299700958945,1788913299700958805,0.14
69,1788913299701958943,1788913299701958805,0.14
70,1788913299702958931,1788913299702958805,0.13
71,1788913299703959010,1788913299703958805,0.20
72,1788913299704958928,1788913299704958805,0.12
73,1788913299705958926,1788913299705958805,0.12
74,1788913299706958994,1788913299706958805,0.19
75,1788913299707958942,1788913299707958805,0.14
76,1788913299708958970,1788913299708958805,0.17
77,1788913299709958989,1788913299709958805,0.18
78,1788913299710958966,1788913299710958805,0.16
79,1788913299711958945,1788913299711958805,0.14
80,1788913299712958983,1788913299712958805,0.18
81,1788913299713958921,1788913299713958805,0.12
82,1788913299714958969,1788913299714958805,0.16
83,1788913299715958967,1788913299715958805,0.16
84,1788913299716958946,1788913299716958805,0.14
85,1788913299717958924,1788913299717958805,0.12
86,1788913299718959012,1788913299718958805,0.21
87,1788913299719958960,1788913299719958805,0.15
88,1788913299720958958,1788913299720958805,0.15
89,1788913299721958946,1788913299721958805,0.14
90,1788913299722958935,1788913299722958805,0.13
91,1788913299723958953,1788913299723958805,0.15
92,1788913299724959001,1788913299724958805,0.20
93,1788913299725958979,1788913299725958805,0.17
94,1788913299726958947,1788913299726958805,0.14
95,1788913299727959005,1788913299727958805,0.20
96,1788913299728958984,1788913299728958805,0.18
97,1788913299729958932,1788913299729958805,0.13
