seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913464309783203,1788913464310016228,0.233025,0.0,128,184
1,1788913464310781427,1788913464310833367,0.05194,-182.861,128,184
2,1788913464311781244,1788913464311831343,0.050099,-2.024,128,184
3,1788913464312781252,1788913464312824327,0.043075,-7.016,128,184
4,1788913464313781350,1788913464313822361,0.041011,-1.966,128,184
5,1788913464314781407,1788913464314848858,0.067451,26.497,128,184
6,1788913464315781214,1788913464315815433,0.034219,-33.425,128,184
7,1788913464316781201,1788913464316823806,0.042605,8.373,128,184
8,1788913464317781449,1788913464317831969,0.05052,8.163,128,184
9,1788913464318781296,1788913464318818010,0.036714,-13.959,128,184
10,1788913464319781204,1788913464319813028,0.031824,-4.982,128,184
11,1788913464320781301,1788913464320827613,0.046312,14.585,128,184
12,1788913464321781289,1788913464321818042,0.036753,-9.571,128,184
13,1788913464322791605,1788913464322941180,0.149575,123.138,128,184
14,1788913464323781354,1788913464323817636,0.036282,-123.544,128,184
15,1788913464324781221,1788913464324819948,0.038727,2.312,128,184
16,1788913464325781248,1788913464325820968,0.03972,1.02,128,184
17,1788913464326781276,1788913464326816897,0.035621,-4.071,128,184
18,1788913464327782315,1788913464327822425,0.04011,5.528,128,184
19,1788913464328781230,1788913464328813817,0.032587,-8.608,128,184
20,1788913464329781228,1788913464329812622,0.031394,-1.195,128,184
21,1788913464330781376,1788913464330822618,0.041242,9.996,128,184
22,1788913464331781283,1788913464331813779,0.032496,-8.839,128,184
23,1788913464332781320,1788913464332812794,0.031474,-0.985,128,184
24,1788913464333781308,1788913464333827079,0.045771,14.285,128,184
25,1788913464334781275,1788913464334821025,0.03975,-6.054,128,184
26,1788913464335789959,1788913464335943942,0.153983,122.917,128,184
27,1788913464336781390,1788913464336829976,0.048586,-113.966,128,184
28,1788913464337781228,1788913464337819424,0.038196,-10.552,128,184
29,1788913464338781205,1788913464338835782,0.054577,16.358,128,184
30,1788913464339781263,1788913464339825180,0.043917,-10.602,128,184
31,1788913464340781280,1788913464340936845,0.155565,111.665,128,184
32,1788913464341781217,1788913464341821848,0.040631,-114.997,128,184
33,1788913464342781425,1788913464342819882,0.038457,-1.966,128,184
34,1788913464343781202,1788913464343822394,0.041192,2.512,128,184
35,1788913464344781240,1788913464344810570,0.02933,-11.824,128,184
36,1788913464345781247,1788913464345835011,0.053764,24.441,128,184
37,1788913464346781315,1788913464346860447,0.079132,25.436,128,184
38,1788913464347781212,1788913464347836811,0.055599,-23.636,128,184
39,1788913464348788733,1788913464348955289,0.166556,118.478,128,184
40,1788913464349781287,1788913464349811518,0.030231,-143.771,128,184
41,1788913464350781264,1788913464350813860,0.032596,2.342,128,184
42,1788913464351781312,1788913464351821412,0.0401,7.552,128,184
43,1788913464352781269,1788913464352828492,0.047223,7.08,128,184
44,1788913464353781216,1788913464353811768,0.030552,-16.724,128,184
45,1788913464354781274,1788913464354814952,0.033678,3.184,128,184
46,1788913464355782664,1788913464355822694,0.04003,7.742,128,184
47,1788913464356781309,1788913464356817882,0.036573,-4.812,128,184
48,1788913464357781336,1788913464357821216,0.03988,3.334,128,184
49,1788913464358781374,1788913464358819971,0.038597,-1.245,128,184
50,1788913464359781211,1788913464359812825,0.031614,-7.146,128,184
51,1788913464360781319,1788913464360808815,0.027496,-4.01,128,184
52,1788913464361784692,1788913464361876228,0.091536,67.413,128,184
53,1788913464362781253,1788913464362814951,0.033698,-61.277,128,184
54,1788913464363781291,1788913464363809228,0.027937,-5.723,128,184
