seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
4,1788913283179246738,1788913283747214468,567.96773,0.0,128,0
5,1788913283180246896,1788913283748966230,568.719334,751.762,128,0
6,1788913283181246693,1788913283750193222,568.946529,226.992,128,0
7,1788913283182246641,1788913283751984347,569.737706,791.125,128,0
13,1788913283188246637,1788913283754366556,566.119919,1382.209,128,0
14,1788913283189246624,1788913283756168181,566.921557,801.625,128,0
15,1788913283190246803,1788913283757382339,567.135536,214.158,128,0
16,1788913283191246680,1788913283759184905,567.938225,802.566,128,0
22,1788913283197246626,1788913283760975260,563.728634,790.355,128,0
23,1788913283198246604,1788913283762766555,564.519951,791.295,128,0
24,1788913283199246812,1788913283764002954,564.756142,236.399,128,0
25,1788913283200246599,1788913283765791795,565.545196,788.841,128,0
31,1788913283206246636,1788913283767622394,561.375758,830.599,128,0
32,1788913283207246643,1788913283769381119,562.134476,758.725,128,0
33,1788913283208246611,1788913283771197672,562.951061,816.553,128,0
34,1788913283209246769,1788913283772374410,563.127641,176.738,128,0
35,1788913283210246707,1788913283774221500,563.974793,847.09,128,0
40,1788913283215246715,1788913283774232560,558.985845,-988.94,128,0
41,1788913283216246683,1788913283776075182,559.828499,842.622,128,0
42,1788913283217246611,1788913283777883299,560.636688,808.117,128,0
43,1788913283218246759,1788913283779083831,560.837072,200.532,128,0
44,1788913283219246786,1788913283780899542,561.652756,815.711,128,0
50,1788913283225246652,1788913283782077392,556.83074,177.85,128,0
51,1788913283226246620,1788913283783913572,557.666952,836.18,128,0
52,1788913283227246718,1788913283785171491,557.924773,257.919,128,0
53,1788913283228246705,1788913283786923874,558.677169,752.383,128,0
59,1788913283234259776,1788913283788748772,554.488996,824.898,128,0
60,1788913283235246670,1788913283790538014,555.291344,789.242,128,0
61,1788913283236246737,1788913283792295897,556.04916,757.883,128,0
62,1788913283237246765,1788913283793554709,556.307944,258.812,128,0
68,1788913283243246781,1788913283795882987,552.636206,1328.278,128,0
69,1788913283244246669,1788913283797725859,553.47919,842.872,128,0
70,1788913283245246697,1788913283799530640,554.283943,804.781,128,0
71,1788913283246246664,1788913283800738275,554.491611,207.635,128,0
77,1788913283252246721,1788913283802556020,550.309299,817.745,128,0
78,1788913283253246738,1788913283804307441,551.060703,751.421,128,0
79,1788913283254246706,1788913283806145434,551.898728,837.993,128,0
80,1788913283255246734,1788913283807362928,552.116194,217.494,128,0
81,1788913283256246672,1788913283809163902,552.91723,800.974,128,0
87,1788913283262246668,1788913283810382498,548.13583,218.596,128,0
88,1788913283263246726,1788913283812181398,548.934672,798.9,128,0
89,1788913283264256361,1788913283813983794,549.727433,802.396,128,0
90,1788913283265246681,1788913283815202981,549.9563,219.187,128,0
96,1788913283271246657,1788913283817009145,545.762488,806.164,128,0
97,1788913283272246695,1788913283818797625,546.55093,788.48,128,0
98,1788913283273246753,1788913283820594952,547.348199,797.327,128,0
99,1788913283274246831,1788913283821816503,547.569672,221.551,128,0
105,1788913283280246737,1788913283823625712,543.378975,809.209,128,0
106,1788913283281246634,1788913283825384097,544.137463,758.385,128,0
107,1788913283282246672,1788913283827216018,544.969346,831.921,128,0
108,1788913283283246670,1788913283828469038,545.222368,253.02,128,0
109,1788913283284246617,1788913283830239695,545.993078,770.657,128,0
114,1788913283289246826,1788913283830883648,541.636822,-356.047,128,0
115,1788913283290246684,1788913283832107003,541.860319,223.355,128,0
116,1788913283291246711,1788913283833902917,542.656206,795.914,128,0
117,1788913283292246639,1788913283835703951,543.457312,801.034,128,0
118,1788913283293246627,1788913283836912889,543.666262,208.938,128,0
124,1788913283299246703,1788913283838184193,538.93749,271.304,128,0
