seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913365510622966,1788913366079816430,569.193464,0.0,128,0
1,1788913365511621181,1788913366080998468,569.377287,182.038,128,0
2,1788913365512621059,1788913366082807598,570.186539,809.13,128,0
7,1788913365517621120,1788913366084015946,566.394826,208.348,128,0
8,1788913365518621099,1788913366085815277,567.194178,799.331,128,0
9,1788913365519621147,1788913366087618987,567.99784,803.71,128,0
10,1788913365520621035,1788913366088834057,568.213022,215.07,128,0
16,1788913365526621105,1788913366090628960,564.007855,794.903,128,0
17,1788913365527621133,1788913366092426338,564.805205,797.378,128,0
18,1788913365528621111,1788913366094229377,565.608266,803.039,128,0
19,1788913365529621029,1788913366096021345,566.400316,791.968,128,0
20,1788913365530621138,1788913366097259708,566.63857,238.363,128,0
26,1788913365536621137,1788913366098483665,561.862528,223.957,128,0
27,1788913365537621135,1788913366100268038,562.646903,784.373,128,0
28,1788913365538621093,1788913366102114257,563.493164,846.219,128,0
29,1788913365539621132,1788913366103286327,563.665195,172.07,128,0
35,1788913365545621131,1788913366105086080,559.464949,799.753,128,0
36,1788913365546621049,1788913366106888617,560.267568,802.537,128,0
37,1788913365547621138,1788913366108671708,561.05057,783.091,128,0
38,1788913365548621076,1788913366109906325,561.285249,234.617,128,0
44,1788913365554621055,1788913366112280390,557.659335,1374.065,128,0
45,1788913365555621093,1788913366114080012,558.458919,799.622,128,0
46,1788913365556621102,1788913366115880045,559.258943,800.033,128,0
47,1788913365557621030,1788913366117669018,560.047988,788.973,128,0
53,1788913365563621099,1788913366119492014,555.870915,822.996,128,0
54,1788913365564621118,1788913366120680794,556.059676,188.78,128,0
55,1788913365565621056,1788913366122516544,556.895488,835.75,128,0
56,1788913365566621104,1788913366124296339,557.675235,779.795,128,0
57,1788913365567621152,1788913366125500909,557.879757,204.57,128,0
62,1788913365572621104,1788913366125602519,552.981415,-898.39,128,0
63,1788913365573621102,1788913366126809975,553.188873,207.456,128,0
64,1788913365574621090,1788913366128607523,553.986433,797.548,128,0
65,1788913365575621048,1788913366130370046,554.748998,762.523,128,0
66,1788913365576621086,1788913366131637875,555.016789,267.829,128,0
72,1788913365582621066,1788913366132853546,550.23248,215.671,128,0
73,1788913365583621084,1788913366134657486,551.036402,803.94,128,0
74,1788913365584621092,1788913366136445376,551.824284,787.89,128,0
75,1788913365585621040,1788913366138204553,552.583513,759.177,128,0
81,1788913365591621070,1788913366140623813,549.002743,1419.26,128,0
82,1788913365592621028,1788913366141846838,549.22581,223.025,128,0
83,1788913365593621087,1788913366143653403,550.032316,806.565,128,0
84,1788913365594621115,1788913366145442705,550.82159,789.302,128,0
90,1788913365600621124,1788913366147260902,546.639778,818.197,128,0
91,1788913365601621153,1788913366148450575,546.829422,189.673,128,0
92,1788913365602621131,1788913366150246159,547.625028,795.584,128,0
93,1788913365603621099,1788913366152013121,548.392022,766.962,128,0
94,1788913365604621077,1788913366153273155,548.652078,260.034,128,0
99,1788913365609621138,1788913366153393129,543.771991,-880.026,128,0
100,1788913365610621247,1788913366154564066,543.942819,170.937,128,0
101,1788913365611621175,1788913366156359741,544.738566,795.675,128,0
102,1788913365612621093,1788913366158108709,545.487616,748.968,128,0
103,1788913365613621091,1788913366159950389,546.329298,841.68,128,0
109,1788913365619621141,1788913366161196698,541.575557,246.309,128,0
110,1788913365620621109,1788913366162399164,541.778055,202.466,128,0
111,1788913365621621117,1788913366164199959,542.578842,800.795,128,0
112,1788913365622621126,1788913366165994581,543.373455,794.622,128,0
118,1788913365628621085,1788913366168376071,539.754986,1381.49,128,0
119,1788913365629621083,1788913366169565413,539.94433,189.342,128,0
120,1788913365630621162,1788913366171392136,540.770974,826.723,128,0
121,1788913365631621060,1788913366173195485,541.574425,803.349,128,0
127,1788913365637621149,1788913366174989767,537.368618,794.282,128,0
128,1788913365638621098,1788913366176214014,537.592916,224.247,128,0
129,1788913365639621066,1788913366178015179,538.394113,801.165,128,0
130,1788913365640621124,1788913366179808830,539.187706,793.651,128,0
136,1788913365646621074,1788913366182196621,535.575547,1387.791,128,0
137,1788913365647621082,1788913366183995301,536.374219,798.68,128,0
138,1788913365648621130,1788913366185214509,536.593379,219.208,128,0
139,1788913365649621119,1788913366187010394,537.389275,795.885,128,0
146,1788913365656621106,1788913366190582227,533.961121,2571.833,128,0
147,1788913365657621064,1788913366191762773,534.141709,180.546,128,0
148,1788913365658621123,1788913366193573857,534.952734,811.084,128,0
149,1788913365659621101,1788913366195329045,535.707944,755.188,128,0
155,1788913365665621060,1788913366197155428,531.534368,826.383,128,0
156,1788913365666621028,1788913366198408659,531.787631,253.231,128,0
157,1788913365667621077,1788913366200174899,532.553822,766.24,128,0
158,1788913365668621075,1788913366201978318,533.357243,803.419,128,0
164,1788913365674621034,1788913366203782478,529.161444,804.16,128,0
165,1788913365675621033,1788913366205568886,529.947853,786.408,128,0
166,1788913365676621091,1788913366206791680,530.170589,222.794,128,0
167,1788913365677621069,1788913366208582005,530.960936,790.325,128,0
173,1788913365683621099,1788913366210375215,526.754116,793.21,128,0
174,1788913365684621107,1788913366212179286,527.558179,804.071,128,0
175,1788913365685621085,1788913366213404705,527.78362,225.419,128,0
176,1788913365686621053,1788913366215201111,528.580058,796.406,128,0
177,1788913365687621132,1788913366216975606,529.354474,774.495,128,0
182,1788913365692621073,1788913366217087275,524.466202,-888.331,128,0
183,1788913365693621081,1788913366218845159,525.224078,757.884,128,0
184,1788913365694621119,1788913366220078944,525.457825,233.785,128,0
185,1788913365695621038,1788913366221889777,526.268739,810.833,128,0
186,1788913365696621106,1788913366223671025,527.049919,781.248,128,0
192,1788913365702621078,1788913366224903408,522.28233,232.383,128,0
193,1788913365703621146,1788913366226673064,523.051918,769.656,128,0
194,1788913365704621044,1788913366227923199,523.302155,250.135,128,0
195,1788913365705621123,1788913366229743099,524.121976,819.9,128,0
201,1788913365711621062,1788913366232098640,520.477578,1355.541,128,0
202,1788913365712621120,1788913366233894735,521.273615,796.095,128,0
203,1788913365713621089,1788913366235115296,521.494207,220.561,128,0
204,1788913365714621087,1788913366236919076,522.297989,803.78,128,0
210,1788913365720621106,1788913366238675527,518.054421,756.451,128,0
211,1788913365721621104,1788913366240494505,518.873401,818.978,128,0
212,1788913365722621123,1788913366241730645,519.109522,236.14,128,0
213,1788913365723621151,1788913366243587303,519.966152,856.658,128,0
219,1788913365729621121,1788913366245330160,515.709039,742.857,128,0
220,1788913365730621089,1788913366247135452,516.514363,805.292,128,0
221,1788913365731621117,1788913366248928332,517.307215,792.88,128,0
222,1788913365732621075,1788913366250150255,517.52918,221.923,128,0
223,1788913365733621083,1788913366251947853,518.32677,797.598,128,0
224,1788913365734621092,1788913366253167963,518.546871,220.11,128,0
225,1788913365735621060,1788913366254387090,518.76603,219.127,128,0
233,1788913365743621096,1788913366256174960,512.553864,787.87,128,0
234,1788913365744621024,1788913366257415388,512.794364,240.428,128,0
235,1788913365745621062,1788913366259193009,513.571947,777.621,128,0
236,1788913365746621121,1788913366261028889,514.407768,835.88,128,0
237,1788913365747621109,1788913366262251743,514.630634,222.854,128,0
242,1788913365752621160,1788913366262261221,509.640061,-990.522,128,0
243,1788913365753621108,1788913366264132807,510.511699,871.586,128,0
244,1788913365754621107,1788913366265330335,510.709228,197.528,128,0
245,1788913365755621075,1788913366267131750,511.510675,801.415,128,0
246,1788913365756629409,1788913366268972970,512.343561,841.22,128,0
252,1788913365762621133,1788913366270672596,508.051463,699.626,128,0
253,1788913365763621101,1788913366271940915,508.319814,268.319,128,0
254,1788913365764621119,1788913366273725108,509.103989,784.193,128,0
255,1788913365765621067,1788913366275545940,509.924873,820.832,128,0
261,1788913365771621127,1788913366277349630,505.728503,803.69,128,0
262,1788913365772621125,1788913366278559219,505.938094,209.589,128,0
263,1788913365773621083,1788913366280373359,506.752276,814.14,128,0
264,1788913365774621092,1788913366282148375,507.527283,775.016,128,0
270,1788913365780621141,1788913366283953387,503.332246,805.012,128,0
271,1788913365781621039,1788913366285751787,504.130748,798.4,128,0
272,1788913365782621107,1788913366286969812,504.348705,218.025,128,0
273,1788913365783621076,1788913366288771829,505.150753,802.017,128,0
279,1788913365789621115,1788913366290517070,500.895955,745.241,128,0
280,1788913365790621053,1788913366292362387,501.741334,845.317,128,0
281,1788913365791621112,1788913366293610088,501.988976,247.701,128,0
282,1788913365792621060,1788913366295364175,502.743115,754.087,128,0
283,1788913365793621078,1788913366297182523,503.561445,818.348,128,0
289,1788913365799621067,1788913366298358740,498.737673,176.217,128,0
290,1788913365800621086,1788913366299629214,499.008128,270.474,128,0
291,1788913365801621024,1788913366301446469,499.825445,817.255,128,0
292,1788913365802621082,1788913366303207308,500.586226,760.839,128,0
298,1788913365808621062,1788913366305601521,496.980459,1394.213,128,0
299,1788913365809621050,1788913366307428585,497.807535,827.064,128,0
300,1788913365810621138,1788913366308620932,497.999794,192.347,128,0
301,1788913365811621106,1788913366310406889,498.785783,785.957,128,0
307,1788913365817621104,1788913366312174131,494.553027,767.242,128,0
308,1788913365818621092,1788913366314045565,495.424473,871.434,128,0
309,1788913365819621170,1788913366315261136,495.639966,215.571,128,0
310,1788913365820621088,1788913366317019431,496.398343,758.295,128,0
316,1788913365826621067,1788913366318837238,492.216171,817.807,128,0
317,1788913365827621076,1788913366320646420,493.025344,809.182,128,0
318,1788913365828621144,1788913366321850369,493.229225,203.949,128,0
319,1788913365829621082,1788913366323674246,494.053164,823.877,128,0
320,1788913365830621101,1788913366325444364,494.823263,770.118,128,0
326,1788913365836621090,1788913366327240710,490.61962,796.346,128,0
327,1788913365837621218,1788913366329098420,491.477202,857.71,128,0
328,1788913365838621117,1788913366330257466,491.636349,159.046,128,0
329,1788913365839621085,1788913366332076995,492.45591,819.529,128,0
335,1788913365845621074,1788913366333834368,488.213294,757.373,128,0
336,1788913365846621123,1788913366335675528,489.054405,841.16,128,0
337,1788913365847621201,1788913366336914683,489.293482,239.155,128,0
338,1788913365848621079,1788913366338668479,490.0474,753.796,128,0
344,1788913365854621069,1788913366340492828,485.871759,824.349,128,0
345,1788913365855621087,1788913366342268846,486.647759,776.018,128,0
346,1788913365856621115,1788913366343510666,486.889551,241.82,128,0
347,1788913365857621093,1788913366345292505,487.671412,781.839,128,0
353,1788913365863621103,1788913366347633799,484.012696,1341.294,128,0
354,1788913365864621121,1788913366349485699,484.864578,851.9,128,0
355,1788913365865621159,1788913366351264532,485.643373,778.833,128,0
356,1788913365866621097,1788913366352480955,485.859858,216.423,128,0
362,1788913365872621137,1788913366354290596,481.669459,809.641,128,0
363,1788913365873621055,1788913366356087833,482.466778,797.237,128,0
