seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913398428735716,1788913398428839884,0.104168,0.0,128,184
1,1788913398429733901,1788913398429782876,0.048975,-57.008,128,184
2,1788913398430733789,1788913398430883722,0.149933,100.846,128,184
3,1788913398431733778,1788913398431783584,0.049806,-100.138,128,184
4,1788913398432733716,1788913398432781288,0.047572,-2.296,128,184
5,1788913398433733754,1788913398433787348,0.053594,6.06,128,184
6,1788913398434733753,1788913398434774812,0.041059,-12.536,128,184
7,1788913398435733751,1788913398435776013,0.042262,1.201,128,184
8,1788913398436733799,1788913398436776653,0.042854,0.64,128,184
9,1788913398437733698,1788913398437783904,0.050206,7.251,128,184
10,1788913398438733736,1788913398438869292,0.135556,85.388,128,184
11,1788913398439733684,1788913398439781687,0.048003,-87.605,128,184
12,1788913398440733773,1788913398440774893,0.04112,-6.794,128,184
13,1788913398441733821,1788913398441787014,0.053193,12.121,128,184
14,1788913398442733749,1788913398442778456,0.044707,-8.558,128,184
15,1788913398443733808,1788913398443886957,0.153149,108.501,128,184
16,1788913398444733726,1788913398444780677,0.046951,-106.28,128,184
17,1788913398445733695,1788913398445772470,0.038775,-8.207,128,184
18,1788913398446733793,1788913398446782768,0.048975,10.298,128,184
19,1788913398447733761,1788913398447782215,0.048454,-0.553,128,184
20,1788913398448733830,1788913398448768578,0.034748,-13.637,128,184
21,1788913398449733698,1788913398449781009,0.047311,12.431,128,184
22,1788913398450733676,1788913398450777180,0.043504,-3.829,128,184
23,1788913398451733685,1788913398451917270,0.183585,140.09,128,184
24,1788913398452735587,1788913398452811341,0.075754,-105.929,128,184
25,1788913398453733781,1788913398453776644,0.042863,-34.697,128,184
26,1788913398454733790,1788913398454777875,0.044085,1.231,128,184
27,1788913398455733688,1788913398455774668,0.04098,-3.207,128,184
28,1788913398456733777,1788913398456887126,0.153349,112.458,128,184
29,1788913398458112613,1788913398458164182,0.051569,277.056,128,184
30,1788913398458733814,1788913398458771577,0.037763,-392.605,128,184
31,1788913398459733691,1788913398459781343,0.047652,9.766,128,184
32,1788913398460733740,1788913398460779398,0.045658,-1.945,128,184
33,1788913398461733718,1788913398461770199,0.036481,-9.199,128,184
34,1788913398462733837,1788913398462774315,0.040478,4.116,128,184
35,1788913398463733725,1788913398463780014,0.046289,5.699,128,184
36,1788913398464733784,1788913398464901520,0.167736,121.506,128,184
37,1788913398465733742,1788913398465778779,0.045037,-122.741,128,184
38,1788913398466733760,1788913398466771874,0.038114,-6.905,128,184
39,1788913398467733789,1788913398467775740,0.041951,3.866,128,184
40,1788913398468733757,1788913398468773404,0.039647,-2.336,128,184
41,1788913398469733705,1788913398469855596,0.121891,82.192,128,184
42,1788913398470733694,1788913398470775194,0.0415,-80.402,128,184
43,1788913398471733752,1788913398471771175,0.037423,-4.019,128,184
44,1788913398472733810,1788913398472783867,0.050057,12.692,128,184
45,1788913398473733728,1788913398473771472,0.037744,-12.395,128,184
46,1788913398474733747,1788913398474773033,0.039286,1.561,128,184
47,1788913398475733735,1788913398475779744,0.046009,6.711,128,184
48,1788913398476733673,1788913398476769944,0.036271,-9.8,128,184
49,1788913398477742288,1788913398477900236,0.157948,130.292,128,184
50,1788913398478733781,1788913398478768759,0.034978,-131.477,128,184
51,1788913398479733719,1788913398479762535,0.028816,-6.224,128,184
52,1788913398480733687,1788913398480768866,0.035179,6.331,128,184
53,1788913398481733685,1788913398481769355,0.03567,0.489,128,184
54,1788913398482733774,1788913398482880311,0.146537,110.956,128,184
55,1788913398483733682,1788913398483772187,0.038505,-108.124,128,184
56,1788913398484733740,1788913398484771093,0.037353,-1.094,128,184
57,1788913398485733819,1788913398485776402,0.042583,5.309,128,184
58,1788913398486733717,1788913398486769397,0.03568,-7.005,128,184
59,1788913398487733736,1788913398487770888,0.037152,1.491,128,184
60,1788913398488733734,1788913398488780524,0.04679,9.636,128,184
61,1788913398489733762,1788913398489772989,0.039227,-7.535,128,184
62,1788913398490738910,1788913398490883904,0.144994,110.915,128,184
63,1788913398491733789,1788913398491770029,0.03624,-113.875,128,184
64,1788913398492733667,1788913398492769587,0.03592,-0.442,128,184
65,1788913398493733776,1788913398493774605,0.040829,5.018,128,184
66,1788913398494733684,1788913398494777479,0.043795,2.874,128,184
67,1788913398495733743,1788913398495889476,0.155733,111.997,128,184
68,1788913398496733711,1788913398496779479,0.045768,-109.997,128,184
69,1788913398497733739,1788913398497783064,0.049325,3.585,128,184
70,1788913398498733737,1788913398498789935,0.056198,6.871,128,184
71,1788913398499733786,1788913398499777330,0.043544,-12.605,128,184
72,1788913398500781994,1788913398500830938,0.048944,53.608,128,184
73,1788913398501733773,1788913398501779240,0.045467,-51.698,128,184
74,1788913398502733771,1788913398502779569,0.045798,0.329,128,184
75,1788913398503735923,1788913398503828549,0.092626,48.98,128,184
76,1788913398504733868,1788913398504774677,0.040809,-53.872,128,184
77,1788913398505733766,1788913398505769916,0.03615,-4.761,128,184
78,1788913398506733774,1788913398506783921,0.050147,14.005,128,184
79,1788913398507733853,1788913398507771546,0.037693,-12.375,128,184
80,1788913398508733751,1788913398508779362,0.045611,7.816,128,184
81,1788913398509733729,1788913398509782373,0.048644,3.011,128,184
82,1788913398510733738,1788913398510767774,0.034036,-14.599,128,184
83,1788913398511733746,1788913398511773744,0.039998,5.97,128,184
84,1788913398512733724,1788913398512786997,0.053273,13.253,128,184
85,1788913398513733743,1788913398513772608,0.038865,-14.389,128,184
86,1788913398514733771,1788913398514779079,0.045308,6.471,128,184
87,1788913398515733770,1788913398515776422,0.042652,-2.657,128,184
88,1788913398516733758,1788913398516896615,0.162857,120.193,128,184
89,1788913398517733756,1788913398517772361,0.038605,-124.254,128,184
90,1788913398518733704,1788913398518770747,0.037043,-1.614,128,184
91,1788913398519733703,1788913398519780002,0.046299,9.255,128,184
92,1788913398520733851,1788913398520773769,0.039918,-6.233,128,184
