seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913480774051515,1788913480774049421,2.09
1,1788913480775049730,1788913480775049421,0.31
2,1788913480776049668,1788913480776049421,0.25
3,1788913480777049556,1788913480777049421,0.14
4,1788913480778049635,1788913480778049421,0.21
5,1788913480779049653,1788913480779049421,0.23
6,1788913480780049561,1788913480780049421,0.14
7,1788913480781049600,1788913480781049421,0.18
8,1788913480782049638,1788913480782049421,0.22
9,1788913480783049637,1788913480783049421,0.22
10,1788913480784049746,1788913480784049421,0.33
11,1788913480785049594,1788913480785049421,0.17
12,1788913480786049572,1788913480786049421,0.15
13,1788913480787049570,1788913480787049421,0.15
14,1788913480788049589,1788913480788049421,0.17
15,1788913480789049555,1788913480789049421,0.13
16,1788913480790049614,1788913480790049421,0.19
17,1788913480791049562,1788913480791049421,0.14
18,1788913480792049580,1788913480792049421,0.16
19,1788913480793049609,1788913480793049421,0.19
20,1788913480794049617,1788913480794049421,0.20
21,1788913480795049806,1788913480795049421,0.39
22,1788913480796049504,1788913480796049421,0.08
23,1788913480797049573,1788913480797049421,0.15
24,1788913480798049531,1788913480798049421,0.11
25,1788913480799049529,1788913480799049421,0.11
26,1788913480800049628,1788913480800049421,0.21
27,1788913480801049646,1788913480801049421,0.23
28,1788913480802049535,1788913480802049421,0.11
29,1788913480803049613,1788913480803049421,0.19
30,1788913480804049651,1788913480804049421,0.23
31,1788913480805049850,1788913480805049421,0.43
32,1788913480806049568,1788913480806049421,0.15
33,1788913480807049586,1788913480807049421,0.17
34,1788913480808049645,1788913480808049421,0.22
35,1788913480809049603,1788913480809049421,0.18
36,1788913480810049572,1788913480810049421,0.15
37,1788913480811049610,1788913480811049421,0.19
38,1788913480812049528,1788913480812049421,0.11
39,1788913480813049597,1788913480813049421,0.18
40,1788913480814049605,1788913480814049421,0.18
41,1788913480815049553,1788913480815049421,0.13
42,1788913480816049592,1788913480816049421,0.17
43,1788913480817049590,1788913480817049421,0.17
44,1788913480818049539,1788913480818049421,0.12
45,1788913480819049547,1788913480819049421,0.13
46,1788913480820049525,1788913480820049421,0.10
47,1788913480821049594,1788913480821049421,0.17
48,1788913480822049602,1788913480822049421,0.18
49,1788913480823049641,1788913480823049421,0.22
50,1788913480824049619,1788913480824049421,0.20
51,1788913480825049728,1788913480825049421,0.31
52,1788913480826049566,1788913480826049421,0.14
53,1788913480827049534,1788913480827049421,0.11
54,1788913480828049582,1788913480828049421,0.16
55,1788913480829049551,1788913480829049421,0.13
56,1788913480830049599,1788913480830049421,0.18
57,1788913480831049608,1788913480831049421,0.19
58,1788913480832049616,1788913480832049421,0.20
59,1788913480833049585,1788913480833049421,0.16
60,1788913480834049593,1788913480834049421,0.17
61,1788913480835049551,1788913480835049421,0.13
62,1788913480836049580,1788913480836049421,0.16
63,1788913480837049508,1788913480837049421,0.09
64,1788913480838049586,1788913480838049421,0.17
65,1788913480839049515,1788913480839049421,0.09
66,1788913480840049583,1788913480840049421,0.16
67,1788913480841049602,1788913480841049421,0.18
68,1788913480842049530,1788913480842049421,0.11
69,1788913480843049568,1788913480843049421,0.15
70,1788913480844049617,1788913480844049421,0.20
71,1788913480845049545,1788913480845049421,0.12
72,1788913480846049644,1788913480846049421,0.22
73,1788913480847049582,1788913480847049421,0.16
74,1788913480848049590,1788913480848049421,0.17
75,1788913480849049629,1788913480849049421,0.21
76,1788913480850049597,1788913480850049421,0.18
77,1788913480851049555,1788913480851049421,0.13
78,1788913480852062618,1788913480852049421,13.20
79,1788913480853049612,1788913480853049421,0.19
80,1788913480854049601,1788913480854049421,0.18
81,1788913480855049619,1788913480855049421,0.20
82,1788913480856050219,1788913480856049421,0.80
83,1788913480857049506,1788913480857049421,0.09
84,1788913480858049614,1788913480858049421,0.19
85,1788913480859049613,1788913480859049421,0.19
86,1788913480860049611,1788913480860049421,0.19
87,1788913480861049610,1788913480861049421,0.19
88,1788913480862049538,1788913480862049421,0.12
89,1788913480863049616,1788913480863049421,0.20
90,1788913480864049555,1788913480864049421,0.13
91,1788913480865065272,1788913480865049421,15.85
92,1788913480866049541,1788913480866049421,0.12
93,1788913480867049570,1788913480867049421,0.15
94,1788913480868049528,1788913480868049421,0.11
95,1788913480869049577,1788913480869049421,0.16
96,1788913480870049525,1788913480870049421,0.10
97,1788913480871049634,1788913480871049421,0.21
98,1788913480872049532,1788913480872049421,0.11
99,1788913480873049630,1788913480873049421,0.21
100,1788913480874049608,1788913480874049421,0.19
101,1788913480875049517,1788913480875049421,0.10
102,1788913480876049655,1788913480876049421,0.23
103,1788913480877049584,1788913480877049421,0.16
104,1788913480878049552,1788913480878049421,0.13
105,1788913480879049550,1788913480879049421,0.13
106,1788913480880049529,1788913480880049421,0.11
107,1788913480881049527,1788913480881049421,0.11
108,1788913480882049535,1788913480882049421,0.11
109,1788913480883049554,1788913480883049421,0.13
110,1788913480884049532,1788913480884049421,0.11
111,1788913480885049602,1788913480885049421,0.18
