seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913480774051515,1788913480774279482,0.227967,0.0,128,184
1,1788913480775049730,1788913480775103792,0.054062,-175.69,128,184
2,1788913480776049668,1788913480776106044,0.056376,2.252,128,184
3,1788913480777049556,1788913480777093429,0.043873,-12.615,128,184
4,1788913480778049635,1788913480778097145,0.04751,3.716,128,184
5,1788913480779049653,1788913480779213250,0.163597,116.105,128,184
6,1788913480780049561,1788913480780093965,0.044404,-119.285,128,184
7,1788913480781049600,1788913480781092892,0.043292,-1.073,128,184
8,1788913480782049638,1788913480782090215,0.040577,-2.677,128,184
9,1788913480783049637,1788913480783101535,0.051898,11.32,128,184
10,1788913480784049746,1788913480784109738,0.059992,8.203,128,184
11,1788913480785049594,1788913480785105218,0.055624,-4.52,128,184
12,1788913480786049572,1788913480786091391,0.041819,-13.827,128,184
13,1788913480787049570,1788913480787103201,0.053631,11.81,128,184
14,1788913480788049589,1788913480788107357,0.057768,4.156,128,184
15,1788913480789049555,1788913480789128505,0.07895,21.148,128,184
16,1788913480790049614,1788913480790110761,0.061147,-17.744,128,184
17,1788913480791049562,1788913480791106401,0.056839,-4.36,128,184
18,1788913480792049580,1788913480792212087,0.162507,105.686,128,184
19,1788913480793049609,1788913480793101909,0.0523,-110.178,128,184
20,1788913480794049617,1788913480794107558,0.057941,5.649,128,184
21,1788913480795049806,1788913480795105743,0.055937,-1.815,128,184
22,1788913480796049504,1788913480796108136,0.058632,2.393,128,184
23,1788913480797049573,1788913480797104527,0.054954,-3.609,128,184
24,1788913480798049531,1788913480798107672,0.058141,3.145,128,184
25,1788913480799049529,1788913480799103893,0.054364,-3.779,128,184
26,1788913480800049628,1788913480800211613,0.161985,107.72,128,184
27,1788913480801049646,1788913480801109510,0.059864,-102.103,128,184
28,1788913480802049535,1788913480802103838,0.054303,-5.672,128,184
29,1788913480803049613,1788913480803103997,0.054384,0.159,128,184
30,1788913480804049651,1788913480804106330,0.056679,2.333,128,184
31,1788913480805049850,1788913480805211194,0.161344,104.864,128,184
32,1788913480806049568,1788913480806102559,0.052991,-108.635,128,184
33,1788913480807049586,1788913480807107367,0.057781,4.808,128,184
34,1788913480808049645,1788913480808112795,0.06315,5.428,128,184
35,1788913480809049603,1788913480809107805,0.058202,-4.99,128,184
36,1788913480810049572,1788913480810112251,0.062679,4.446,128,184
37,1788913480811049610,1788913480811103643,0.054033,-8.608,128,184
38,1788913480812049528,1788913480812122046,0.072518,18.403,128,184
39,1788913480813049597,1788913480813111625,0.062028,-10.421,128,184
40,1788913480814049605,1788913480814109499,0.059894,-2.126,128,184
41,1788913480815049553,1788913480815108496,0.058943,-1.003,128,184
42,1788913480816049592,1788913480816138220,0.088628,29.724,128,184
43,1788913480817049590,1788913480817120014,0.070424,-18.206,128,184
44,1788913480818049539,1788913480818226782,0.177243,106.768,128,184
45,1788913480819049547,1788913480819106045,0.056498,-120.737,128,184
46,1788913480820049525,1788913480820107326,0.057801,1.281,128,184
47,1788913480821049594,1788913480821113837,0.064243,6.511,128,184
48,1788913480822049602,1788913480822106301,0.056699,-7.536,128,184
49,1788913480823049641,1788913480823118672,0.069031,12.371,128,184
50,1788913480824049619,1788913480824100437,0.050818,-18.235,128,184
51,1788913480825049728,1788913480825098632,0.048904,-1.805,128,184
52,1788913480826049566,1788913480826097849,0.048283,-0.783,128,184
53,1788913480827049534,1788913480827096845,0.047311,-1.004,128,184
54,1788913480828049582,1788913480828097004,0.047422,0.159,128,184
55,1788913480829049551,1788913480829095930,0.046379,-1.074,128,184
56,1788913480830049599,1788913480830097471,0.047872,1.541,128,184
57,1788913480831049608,1788913480831222313,0.172705,124.842,128,184
58,1788913480832049616,1788913480832110863,0.061247,-111.45,128,184
59,1788913480833049585,1788913480833103378,0.053793,-7.485,128,184
60,1788913480834049593,1788913480834114076,0.064483,10.698,128,184
61,1788913480835049551,1788913480835107402,0.057851,-6.674,128,184
62,1788913480836049580,1788913480836106098,0.056518,-1.304,128,184
63,1788913480837049508,1788913480837110525,0.061017,4.427,128,184
64,1788913480838049586,1788913480838128917,0.079331,18.392,128,184
65,1788913480839049515,1788913480839245884,0.196369,116.967,128,184
66,1788913480840049583,1788913480840108215,0.058632,-137.669,128,184
67,1788913480841049602,1788913480841105629,0.056027,-2.586,128,184
68,1788913480842049530,1788913480842105918,0.056388,0.289,128,184
69,1788913480843049568,1788913480843112539,0.062971,6.621,128,184
70,1788913480844049617,1788913480844155427,0.10581,42.888,128,184
71,1788913480845049545,1788913480845108508,0.058963,-46.919,128,184
72,1788913480846049644,1788913480846107735,0.058091,-0.773,128,184
73,1788913480847049582,1788913480847105078,0.055496,-2.657,128,184
74,1788913480848049590,1788913480848104155,0.054565,-0.923,128,184
75,1788913480849049629,1788913480849103692,0.054063,-0.463,128,184
76,1788913480850049597,1788913480850104332,0.054735,0.64,128,184
77,1788913480851049555,1788913480851109540,0.059985,5.208,128,184
78,1788913480852062618,1788913480852225305,0.162687,115.765,128,184
79,1788913480853049612,1788913480853102393,0.052781,-122.912,128,184
80,1788913480854049601,1788913480854106730,0.057129,4.337,128,184
81,1788913480855049619,1788913480855113441,0.063822,6.711,128,184
82,1788913480856050219,1788913480856113780,0.063561,0.339,128,184
83,1788913480857049506,1788913480857217322,0.167816,103.542,128,184
84,1788913480858049614,1788913480858100943,0.051329,-116.379,128,184
85,1788913480859049613,1788913480859105319,0.055706,4.376,128,184
86,1788913480860049611,1788913480860103855,0.054244,-1.464,128,184
87,1788913480861049610,1788913480861104945,0.055335,1.09,128,184
88,1788913480862049538,1788913480862107789,0.058251,2.844,128,184
89,1788913480863049616,1788913480863108739,0.059123,0.95,128,184
90,1788913480864049555,1788913480864107215,0.05766,-1.524,128,184
91,1788913480865065272,1788913480865254849,0.189577,147.634,128,184
92,1788913480866049541,1788913480866111870,0.062329,-142.979,128,184
93,1788913480867049570,1788913480867104415,0.054845,-7.455,128,184
94,1788913480868049528,1788913480868104563,0.055035,0.148,128,184
95,1788913480869049577,1788913480869114711,0.065134,10.148,128,184
96,1788913480870049525,1788913480870207823,0.158298,93.112,128,184
97,1788913480871049634,1788913480871101493,0.051859,-106.33,128,184
98,1788913480872049532,1788913480872103375,0.053843,1.882,128,184
99,1788913480873049630,1788913480873104345,0.054715,0.97,128,184
100,1788913480874049608,1788913480874108772,0.059164,4.427,128,184
101,1788913480875049517,1788913480875105374,0.055857,-3.398,128,184
102,1788913480876049655,1788913480876104490,0.054835,-0.884,128,184
103,1788913480877049584,1788913480877104769,0.055185,0.279,128,184
104,1788913480878049552,1788913480878104938,0.055386,0.169,128,184
105,1788913480879049550,1788913480879106078,0.056528,1.14,128,184
106,1788913480880049529,1788913480880103161,0.053632,-2.917,128,184
107,1788913480881049527,1788913480881106376,0.056849,3.215,128,184
108,1788913480882049535,1788913480882102116,0.052581,-4.26,128,184
109,1788913480883049554,1788913480883103678,0.054124,1.562,128,184
110,1788913480884049532,1788913480884106091,0.056559,2.413,128,184
111,1788913480885049602,1788913480885099637,0.050035,-6.454,128,184
112,1788913480886049581,1788913480886094095,0.044514,-5.542,128,184
113,1788913480887049629,1788913480887097159,0.04753,3.064,128,184
114,1788913480888049638,1788913480888112155,0.062517,14.996,128,184
115,1788913480889049556,1788913480889130889,0.081333,18.734,128,184
116,1788913480890049554,1788913480890103276,0.053722,-27.613,128,184
117,1788913480891049603,1788913480891103695,0.054092,0.419,128,184
118,1788913480892049631,1788913480892103523,0.053892,-0.172,128,184
119,1788913480893049580,1788913480893095055,0.045475,-8.468,128,184
120,1788913480894049638,1788913480894100313,0.050675,5.258,128,184
121,1788913480895049626,1788913480895097086,0.04746,-3.227,128,184
122,1788913480896049755,1788913480896096383,0.046628,-0.703,128,184
123,1788913480897049653,1788913480897098876,0.049223,2.493,128,184
124,1788913480898049542,1788913480898095809,0.046267,-3.067,128,184
125,1788913480899049590,1788913480899095687,0.046097,-0.122,128,184
126,1788913480900049628,1788913480900099633,0.050005,3.946,128,184
127,1788913480901049587,1788913480901099691,0.050104,0.058,128,184
128,1788913480902049525,1788913480902095963,0.046438,-3.728,128,184
129,1788913480903049573,1788913480903101662,0.052089,5.699,128,184
130,1788913480904049522,1788913480904091812,0.04229,-9.85,128,184
131,1788913480905049670,1788913480905095597,0.045927,3.785,128,184
132,1788913480906049599,1788913480906100966,0.051367,5.369,128,184
133,1788913480907049587,1788913480907112936,0.063349,11.97,128,184
134,1788913480908049535,1788913480908092937,0.043402,-19.999,128,184
135,1788913480909049614,1788913480909107603,0.057989,14.666,128,184
136,1788913480910049572,1788913480910099386,0.049814,-8.217,128,184
137,1788913480911049571,1788913480911091289,0.041718,-8.097,128,184
138,1788913480912049569,1788913480912099333,0.049764,8.044,128,184
139,1788913480913049587,1788913480913105502,0.055915,6.169,128,184
140,1788913480914049545,1788913480914094781,0.045236,-10.721,128,184
141,1788913480915049594,1788913480915095901,0.046307,1.12,128,184
142,1788913480916049532,1788913480916106840,0.057308,10.939,128,184
143,1788913480917049591,1788913480917091770,0.042179,-15.07,128,184
144,1788913480918049649,1788913480918095095,0.045446,3.325,128,184
145,1788913480919049538,1788913480919098390,0.048852,3.295,128,184
146,1788913480920049646,1788913480920105692,0.056046,7.302,128,184
147,1788913480921049615,1788913480921100781,0.051166,-4.911,128,184
148,1788913480922049633,1788913480922108774,0.059141,7.993,128,184
149,1788913480923049621,1788913480923092322,0.042701,-16.452,128,184
150,1788913480924049549,1788913480924093212,0.043663,0.89,128,184
151,1788913480925049628,1788913480925099502,0.049874,6.29,128,184
152,1788913480926049536,1788913480926097807,0.048271,-1.695,128,184
153,1788913480927049575,1788913480927096193,0.046618,-1.614,128,184
154,1788913480928049583,1788913480928098836,0.049253,2.643,128,184
155,1788913480929049642,1788913480929091080,0.041438,-7.756,128,184
156,1788913480930049590,1788913480930093843,0.044253,2.763,128,184
157,1788913480931049679,1788913480931099713,0.050034,5.87,128,184
158,1788913480932049587,1788913480932096014,0.046427,-3.699,128,184
159,1788913480933049585,1788913480933094109,0.044524,-1.905,128,184
160,1788913480934049604,1788913480934101301,0.051697,7.192,128,184
161,1788913480935053609,1788913480935108743,0.055134,7.442,128,184
162,1788913480936049630,1788913480936093463,0.043833,-15.28,128,184
163,1788913480937049598,1788913480937103280,0.053682,9.817,128,184
164,1788913480938049547,1788913480938112333,0.062786,9.053,128,184
165,1788913480939049605,1788913480939110487,0.060882,-1.846,128,184
166,1788913480940049574,1788913480940104214,0.05464,-6.273,128,184
167,1788913480941049532,1788913480941103271,0.053739,-0.943,128,184
168,1788913480942049600,1788913480942108128,0.058528,4.857,128,184
169,1788913480943051072,1788913480943225827,0.174755,117.699,128,184
170,1788913480944049567,1788913480944102404,0.052837,-123.423,128,184
171,1788913480945049545,1788913480945101321,0.051776,-1.083,128,184
172,1788913480946049664,1788913480946101569,0.051905,0.248,128,184
173,1788913480947049532,1788913480947103952,0.05442,2.383,128,184
174,1788913480948052316,1788913480948104863,0.052547,0.911,128,184
175,1788913480949049619,1788913480949104971,0.055352,0.108,128,184
176,1788913480950049607,1788913480950103336,0.053729,-1.635,128,184
177,1788913480951049566,1788913480951105148,0.055582,1.812,128,184
178,1788913480952049554,1788913480952103433,0.053879,-1.715,128,184
179,1788913480953049633,1788913480953112960,0.063327,9.527,128,184
180,1788913480954049561,1788913480954103921,0.05436,-9.039,128,184
181,1788913480955049520,1788913480955103769,0.054249,-0.152,128,184
182,1788913480956049638,1788913480956147870,0.098232,44.101,128,184
183,1788913480957049596,1788913480957108996,0.0594,-38.874,128,184
184,1788913480958049605,1788913480958101640,0.052035,-7.356,128,184
185,1788913480959049553,1788913480959103943,0.05439,2.303,128,184
186,1788913480960049531,1788913480960100685,0.051154,-3.258,128,184
187,1788913480961049560,1788913480961102046,0.052486,1.361,128,184
188,1788913480962049628,1788913480962105210,0.055582,3.164,128,184
189,1788913480963049627,1788913480963102784,0.053157,-2.426,128,184
190,1788913480964049575,1788913480964103855,0.05428,1.071,128,184
191,1788913480965049513,1788913480965103192,0.053679,-0.663,128,184
192,1788913480966049562,1788913480966098341,0.048779,-4.851,128,184
193,1788913480967049530,1788913480967105613,0.056083,7.272,128,184
194,1788913480968049518,1788913480968106223,0.056705,0.61,128,184
195,1788913480969049637,1788913480969216517,0.16688,110.294,128,184
196,1788913480970049505,1788913480970110267,0.060762,-106.25,128,184
197,1788913480971049554,1788913480971102010,0.052456,-8.257,128,184
198,1788913480972049632,1788913480972104633,0.055001,2.623,128,184
199,1788913480973049600,1788913480973105303,0.055703,0.67,128,184
200,1788913480974049689,1788913480974091866,0.042177,-13.437,128,184
