seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size
0,1779714495292466855,1779714495308736861,16.270006,0.0,128
1,1779714495327588878,1779714495317604759,-9.984119,7867.898,128
2,1779714495333319504,1779714495317692196,-15.627308,-912.563,128
3,1779714495335485265,1779714495440021365,104.5361,121329.169,128
4,1779714495456927419,1779714495443126020,-13.801399,2104.655,128
5,1779714495460726741,1779714495445727529,-14.999212,1601.509,128
6,1779714495463346388,1779714495447678561,-15.667827,951.032,128
7,1779714495465342889,1779714495449780262,-15.562627,1101.701,128
8,1779714495467526144,1779714495452506563,-15.019581,1726.301,128
9,1779714495470244025,1779714495456517510,-13.726515,3010.947,128
10,1779714495474441814,1779714495467326704,-7.11511,9809.194,128
11,1779714495484930355,1779714495480326396,-4.603959,11999.692,128
12,1779714495501351045,1779714495491788053,-9.562992,10461.657,128
13,1779714495509422906,1779714495501655409,-7.767497,8867.356,128
14,1779714495519267802,1779714495515118291,-4.149511,12462.882,128
15,1779714495532816992,1779714495523002851,-9.814141,6884.56,128
16,1779714495541069233,1779714495531577377,-9.491856,7574.526,128
17,1779714495549364976,1779714495536078807,-13.286169,3501.43,128
18,1779714495550915640,1779714495536246231,-14.669409,-832.576,128
19,1779714495554029358,1779714495537815829,-16.213529,569.598,128
20,1779714495555675148,1779714495541777337,-13.897811,2961.508,128
21,1779714495559010937,1779714495543366567,-15.64437,589.23,128
22,1779714495560662108,1779714495544421430,-16.240678,54.863,128
23,1779714495561716943,1779714495550745737,-10.971206,5324.307,128
24,1779714495568139922,1779714495702694813,134.554891,150949.076,128
25,1779714495721808209,1779714495707622426,-14.185783,3927.613,128
26,1779714495725673547,1779714495710386807,-15.28674,1764.381,128
27,1779714495728100414,1779714495711356166,-16.744248,-30.641,128
28,1779714495729612140,1779714495714034790,-15.57735,1678.624,128
29,1779714495732173736,1779714495716296911,-15.876825,1262.121,128
30,1779714495734057289,1779714495717332593,-16.724696,35.682,128
31,1779714495735145052,1779714495720741446,-14.403606,2408.853,128
32,1779714495739618958,1779714495725715107,-13.903851,3973.661,128
33,1779714495743680741,1779714495728620820,-15.059921,1905.713,128
34,1779714495746606935,1779714495731044423,-15.562512,1423.603,128
35,1779714495748985192,1779714495734951250,-14.033942,2906.827,128
36,1779714495752674191,1779714495737816321,-14.85787,1865.071,128
37,1779714495755512896,1779714495741014399,-14.498497,2198.078,128
38,1779714495758713367,1779714495743934530,-14.778837,1920.131,128
39,1779714495761346776,1779714495747919873,-13.426903,2985.343,128
40,1779714495765863579,1779714495751519507,-14.344072,2599.634,128
41,1779714495769192692,1779714495754037129,-15.155563,1517.622,128
42,1779714495771765575,1779714495761274520,-10.491055,6237.391,128
43,1779714495778983946,1779714495764847305,-14.136641,2572.785,128
44,1779714495782518151,1779714495767804891,-14.71326,1957.586,128
45,1779714495785486658,1779714495772593094,-12.893564,3788.203,128
46,1779714495790311079,1779714495775585968,-14.725111,1992.874,128
47,1779714495793282619,1779714495778784150,-14.498469,2198.182,128
48,1779714495796477805,1779714495782929444,-13.548361,3145.294,128
49,1779714495800681856,1779714495787937034,-12.744822,4007.59,128
50,1779714495805618612,1779714495792871373,-12.747239,3934.339,128
51,1779714495811107665,1779714495801612577,-9.495088,7741.204,128
52,1779714495819313140,1779714495808327017,-10.986123,5714.44,128
53,1779714495826005483,1779714495809884175,-16.121308,557.158,128
54,1779714495827617534,1779714495812970116,-14.647418,2085.941,128
55,1779714495831159858,1779714495817213356,-13.946502,3243.24,128
56,1779714495834159141,1779714495822288187,-11.870954,4074.831,128
57,1779714495840810673,1779714495827531080,-13.279593,4242.893,128
58,1779714495845779065,1779714495832843933,-12.935132,4312.853,128
59,1779714495850514784,1779714495837471652,-13.043132,3627.719,128
60,1779714495855231005,1779714495840552547,-14.678458,2080.895,128
61,1779714495858291640,1779714495842244952,-16.046688,692.405,128
62,1779714495860118614,1779714495844571123,-15.547491,1326.171,128
63,1779714495862427462,1779714495847791238,-14.636224,2220.115,128
64,1779714495865669068,1779714495849816449,-15.852619,1025.211,128
65,1779714495867813413,1779714495853394269,-14.419144,2577.82,128
66,1779714495871188052,1779714495857921121,-13.266931,3526.852,128
67,1779714495875648169,1779714495860765550,-14.882619,1844.429,128
68,1779714495878530448,1779714495863095331,-15.435117,1329.781,128
69,1779714495881143096,1779714495865491604,-15.651492,1396.273,128
70,1779714495883313094,1779714495867689766,-15.623328,1198.162,128
71,1779714495885509009,1779714495869274114,-16.234895,584.348,128
72,1779714495887049761,1779714495871091573,-15.958188,817.459,128
73,1779714495888817565,1779714495873228677,-15.588888,1137.104,128
74,1779714495890880841,1779714495878027897,-12.852944,3799.22,128
75,1779714495895924535,1779714495880942050,-14.982485,1914.153,128
76,1779714495898678417,1779714495883467773,-15.210644,1525.723,128
77,1779714495901360596,1779714495886092997,-15.267599,1625.224,128
78,1779714495903832311,1779714495888971409,-14.860902,1878.412,128
79,1779714495906827867,1779714495893462265,-13.365602,3490.856,128
80,1779714495911039656,1779714495895577349,-15.462307,1115.084,128
81,1779714495913379798,1779714495897747510,-15.632288,1170.161,128
82,1779714495915746170,1779714495900705162,-15.041008,1957.652,128
83,1779714495918582438,1779714495903257504,-15.324934,1552.342,128
84,1779714495920958980,1779714495907114554,-13.844426,2857.05,128
85,1779714495924847754,1779714495909088573,-15.759181,974.019,128
