seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size
0,1000000000000,1000017056003,17.056003,142.52,128
1,1000001000000,1000018249926,17.249927,323.63,128
2,1000002000000,1000019081421,17.081421,322.75,128
3,1000003000000,1000019761530,16.761531,-549.12,128
4,1000004000000,1000022297608,18.297608,-26.37,128
5,1000005000000,1000022481793,17.481793,483.0,128
6,1000006000000,1000023305195,17.305195,-411.19,128
7,1000007000000,1000024005845,17.005845,-679.24,128
8,1000008000000,1000024509363,16.509363,-901.51,128
9,1000009000000,1000027310625,18.310626,-302.2,128
10,1000010000000,1000027526327,17.526327,212.14,128
11,1000011000000,1000027994676,16.994677,150.1,128
12,1000012000000,1000028271480,16.271481,-122.25,128
13,1000013000000,1000030247121,17.247122,-397.01,128
14,1000014000000,1000031218124,17.218125,-323.64,128
15,1000015000000,1000032848117,17.848117,-21.08,128
16,1000016000000,1000033866839,17.86684,-747.23,128
17,1000017000000,1000034596428,17.596428,-585.04,128
18,1000018000000,1000034844682,16.844682,-400.17,128
19,1000019000000,1000035363863,16.363864,377.58,128
20,1000020000000,1000037052937,17.052937,-208.4,128
21,1000021000000,1000037974487,16.974488,-461.88,128
22,1000022000000,1000039917516,17.917516,397.66,128
23,1000023000000,1000040391963,17.391963,564.58,128
24,1000024000000,1000042219898,18.219899,82.78,128
25,1000025000000,1000041993132,16.993132,-236.58,128
26,1000026000000,1000043053548,17.053549,42.92,128
27,1000027000000,1000043673312,16.673313,28.73,128
28,1000028000000,1000045338621,17.338622,463.57,128
29,1000029000000,1000045753373,16.753373,347.43,128
30,1000030000000,1000046695817,16.695818,-262.01,128
31,1000031000000,1000047779651,16.779652,54.45,128
32,1000032000000,1000049483406,17.483407,149.58,128
33,1000033000000,1000050322152,17.322153,-124.29,128
34,1000034000000,1000051696061,17.696061,54.41,128
35,1000035000000,1000052396146,17.396146,-126.78,128
36,1000036000000,1000052694046,16.694046,-117.68,128
37,1000037000000,1000054005126,17.005127,301.94,128
38,1000038000000,1000054950934,16.950935,-467.08,128
39,1000039000000,1000055539319,16.53932,-262.08,128
40,1000040000000,1000056558388,16.558389,43.02,128
41,1000041000000,1000058157943,17.157943,88.34,128
42,1000042000000,1000058528531,16.528531,454.73,128
43,1000043000000,1000059397330,16.397331,312.39,128
44,1000044000000,1000061762066,17.762067,299.83,128
45,1000045000000,1000062047045,17.047046,112.35,128
46,1000046000000,1000062986096,16.986097,-34.05,128
47,1000047000000,1000064374798,17.374798,295.16,128
48,1000048000000,1000065146070,17.14607,251.94,128
49,1000049000000,1000066405760,17.405761,65.42,128
50,1000050000000,1000067172024,17.172024,-162.83,128
51,1000051000000,1000067272770,16.272771,-380.2,128
52,1000052000000,1000069178090,17.17809,-203.29,128
53,1000053000000,1000070252581,17.252581,-443.7,128
54,1000054000000,1000070873055,16.873055,-380.36,128
55,1000055000000,1000072274526,17.274526,-135.28,128
56,1000056000000,1000073320258,17.320258,-54.78,128
57,1000057000000,1000074186055,17.186055,-542.8,128
58,1000058000000,1000074985732,16.985733,-42.73,128
59,1000059000000,1000076033045,17.033045,287.47,128
60,1000060000000,1000076792364,16.792365,-47.64,128
61,1000061000000,1000077953878,16.953878,175.08,128
62,1000062000000,1000080255324,18.255325,339.95,128
63,1000063000000,1000079762477,16.762477,271.3,128
64,1000064000000,1000081265136,17.265137,-202.34,128
65,1000065000000,1000082741511,17.741511,-335.76,128
66,1000066000000,1000083500965,17.500966,188.91,128
67,1000067000000,1000084003939,17.003939,138.35,128
68,1000068000000,1000085605084,17.605085,-470.81,128
69,1000069000000,1000085876598,16.876598,189.54,128
70,1000070000000,1000087232237,17.232237,-62.5,128
71,1000071000000,1000087602718,16.602719,-5.91,128
72,1000072000000,1000089917362,17.917363,287.16,128
73,1000073000000,1000090563537,17.563537,-240.25,128
74,1000074000000,1000091735810,17.73581,124.28,128
75,1000075000000,1000092622714,17.622714,62.13,128
76,1000076000000,1000092999477,16.999477,419.81,128
77,1000077000000,1000094682733,17.682734,318.31,128
78,1000078000000,1000095834730,17.83473,-31.14,128
79,1000079000000,1000096399454,17.399454,260.03,128
80,1000080000000,1000097090676,17.090677,-143.44,128
81,1000081000000,1000098679806,17.679806,428.23,128
82,1000082000000,1000099539765,17.539766,327.51,128
83,1000083000000,1000099704056,16.704057,-95.88,128
84,1000084000000,1000100942073,16.942073,241.28,128
85,1000085000000,1000102218770,17.21877,206.16,128
86,1000086000000,1000102397160,16.39716,-13.65,128
87,1000087000000,1000103887517,16.887518,-337.68,128
88,1000088000000,1000105077380,17.077381,323.7,128
89,1000089000000,1000105568844,16.568845,-498.81,128
90,1000090000000,1000107274842,17.274842,-196.29,128
91,1000091000000,1000108513430,17.51343,-12.54,128
92,1000092000000,1000109030812,17.030812,-110.01,128
93,1000093000000,1000110713463,17.713464,59.76,128
94,1000094000000,1000110229886,16.229886,130.67,128
95,1000095000000,1000112572726,17.572727,-228.59,128
96,1000096000000,1000113350604,17.350605,172.41,128
97,1000097000000,1000113838127,16.838127,715.71,128
98,1000098000000,1000115597685,17.597685,-129.6,128
99,1000099000000,1000116069451,17.069451,-49.28,128
100,1000100000000,1000117472962,17.472962,687.28,128
101,1000101000000,1000117940183,16.940183,-293.79,128
102,1000102000000,1000119166448,17.166448,174.09,128
103,1000103000000,1000120570114,17.570114,473.94,128
104,1000104000000,1000120913342,16.913342,422.73,128
105,1000105000000,1000122172200,17.172201,162.94,128
106,1000106000000,1000124102478,18.102478,-222.89,128
107,1000107000000,1000123918190,16.91819,2.12,128
108,1000108000000,1000125488269,17.48827,107.42,128
109,1000109000000,1000125950475,16.950475,-133.66,128
110,1000110000000,1000126488367,16.488368,-143.83,128
111,1000111000000,1000128444646,17.444647,-333.32,128
112,1000112000000,1000128713092,16.713093,789.2,128
113,1000113000000,1000129412291,16.412292,359.84,128
114,1000114000000,1000130712446,16.712446,-291.36,128
115,1000115000000,1000132257217,17.257218,170.38,128
116,1000116000000,1000133944014,17.944015,-65.54,128
